"","gospodarz","gosc","gospodarz_res","gosc_res","dogrywka","daty","total","win_gosp","gosp_gosp","gosp_past_points","win_gosc","gosc_gosp","gosc_past_points","gosp_past_add","gosc_past_add","gosp_past_total","gosc_past_total","gosp_past_add.1","mth","daty_r"
"1314","LosAngelesLakers","DallasMavericks",93,103,0,2015-11-01,196,0,0,114,0,0,88,0,0,246,192,0,"Nov",42
"1315","PhiladelphiaErs","ClevelandCavaliers",100,107,0,2015-11-02,207,0,1,71,1,1,102,0,0,170,194,0,"Nov",49
"1316","BrooklynNets","MilwaukeeBucks",96,103,0,2015-11-02,199,0,0,91,0,0,87,0,0,192,193,0,"Nov",49
"1317","NewYorkKnicks","SanAntonioSpurs",84,94,0,2015-11-02,178,1,0,117,1,0,95,0,0,227,182,0,"Nov",49
"1318","HoustonRockets","OklahomaCityThunder",110,105,0,2015-11-02,215,0,0,89,1,1,117,0,0,198,210,0,"Nov",49
"1319","MinnesotaTimberwolves","PortlandTrailBlazers",101,106,0,2015-11-02,207,1,0,95,0,1,90,0,0,173,191,0,"Nov",49
"1320","GoldenStateWarriors","MemphisGrizzlies",119,69,0,2015-11-02,188,1,0,134,1,1,101,0,0,254,192,0,"Nov",49
"1321","LosAngelesClippers","PhoenixSuns",102,96,0,2015-11-02,198,1,1,114,1,0,101,0,0,223,191,0,"Nov",49
"1322","CharlotteHornets","ChicagoBulls",130,105,0,2015-11-03,235,0,1,92,1,1,92,0,0,186,179,0,"Nov",56
"1323","DetroitPistons","IndianaPacers",82,94,0,2015-11-03,176,1,1,98,0,1,76,1,0,192,173,1,"Nov",56
"1324","MiamiHeat","AtlantaHawks",92,98,0,2015-11-03,190,1,1,109,1,0,94,0,0,198,186,0,"Nov",56
"1325","NewOrleansPelicans","OrlandoMagic",94,103,0,2015-11-03,197,0,1,120,0,0,87,0,0,254,179,0,"Nov",56
"1326","DallasMavericks","TorontoRaptors",91,102,0,2015-11-03,193,1,0,103,1,1,106,0,0,196,193,0,"Nov",56
"1327","SacramentoKings","MemphisGrizzlies",89,103,0,2015-11-03,192,0,0,109,0,0,69,0,0,223,188,0,"Nov",56
"1328","LosAngelesLakers","DenverNuggets",109,120,0,2015-11-03,229,0,1,93,0,0,93,0,0,196,210,0,"Nov",56
"1329","IndianaPacers","BostonCeltics",100,98,0,2015-11-04,198,1,0,94,0,1,87,0,0,176,182,0,"Nov",64.5
"1330","WashingtonWizards","SanAntonioSpurs",102,99,0,2015-11-04,201,0,1,110,1,0,94,0,0,227,178,0,"Nov",64.5
"1331","AtlantaHawks","BrooklynNets",101,87,0,2015-11-04,188,1,0,98,0,1,96,0,0,190,199,0,"Nov",64.5
"1332","ClevelandCavaliers","NewYorkKnicks",96,86,0,2015-11-04,182,1,0,107,0,1,84,0,0,207,178,0,"Nov",64.5
"1333","HoustonRockets","OrlandoMagic",119,114,1,2015-11-04,233,1,1,110,1,0,103,0,0,215,197,0,"Nov",64.5
"1334","MilwaukeeBucks","PhiladelphiaErs",91,87,0,2015-11-04,178,1,0,103,0,1,100,0,0,199,207,0,"Nov",64.5
"1335","OklahomaCityThunder","TorontoRaptors",98,103,0,2015-11-04,201,0,0,105,1,0,102,0,0,215,193,0,"Nov",64.5
"1336","PhoenixSuns","SacramentoKings",118,97,0,2015-11-04,215,0,0,96,0,1,89,0,0,198,192,0,"Nov",64.5
"1337","UtahJazz","PortlandTrailBlazers",92,108,0,2015-11-04,200,1,0,97,1,0,106,0,0,173,207,0,"Nov",64.5
"1338","GoldenStateWarriors","LosAngelesClippers",112,108,0,2015-11-04,220,1,1,119,1,1,102,0,0,188,198,0,"Nov",64.5
"1339","ChicagoBulls","OklahomaCityThunder",104,98,0,2015-11-05,202,0,0,105,0,1,98,0,0,235,201,0,"Nov",72
"1340","MinnesotaTimberwolves","MiamiHeat",84,96,0,2015-11-05,180,0,1,101,0,1,92,0,0,207,190,0,"Nov",72
"1341","DallasMavericks","CharlotteHornets",94,108,0,2015-11-05,202,0,1,91,1,1,130,0,0,193,235,0,"Nov",72
"1342","DenverNuggets","UtahJazz",84,96,0,2015-11-05,180,1,0,120,0,1,92,0,0,229,200,0,"Nov",72
"1343","PortlandTrailBlazers","MemphisGrizzlies",115,96,0,2015-11-05,211,1,0,108,1,0,103,0,0,200,192,0,"Nov",72
"1344","OrlandoMagic","TorontoRaptors",92,87,0,2015-11-06,179,0,0,114,1,0,103,1,0,233,201,1,"Nov",79.5
"1345","BostonCeltics","WashingtonWizards",118,98,0,2015-11-06,216,0,0,98,1,1,102,0,0,198,201,0,"Nov",79.5
"1346","BrooklynNets","LosAngelesLakers",98,104,0,2015-11-06,202,0,0,87,0,1,109,0,0,188,229,0,"Nov",79.5
"1347","ClevelandCavaliers","PhiladelphiaErs",108,102,0,2015-11-06,210,1,1,96,0,0,87,0,0,182,178,0,"Nov",79.5
"1348","NewYorkKnicks","MilwaukeeBucks",92,99,0,2015-11-06,191,0,0,86,1,1,91,0,0,182,178,0,"Nov",79.5
"1349","IndianaPacers","MiamiHeat",90,87,0,2015-11-06,177,1,1,100,1,0,96,0,0,198,180,0,"Nov",79.5
"1350","NewOrleansPelicans","AtlantaHawks",115,121,0,2015-11-06,236,0,1,94,1,1,101,0,0,197,188,0,"Nov",79.5
"1351","PhoenixSuns","DetroitPistons",92,100,0,2015-11-06,192,1,1,118,0,1,82,0,0,215,176,0,"Nov",79.5
"1352","GoldenStateWarriors","DenverNuggets",119,104,0,2015-11-06,223,1,1,112,0,1,84,0,0,220,180,0,"Nov",79.5
"1353","SacramentoKings","HoustonRockets",110,116,0,2015-11-06,226,0,0,97,1,1,119,0,1,215,233,0,"Nov",79.5
"1354","ChicagoBulls","MinnesotaTimberwolves",93,102,1,2015-11-07,195,1,1,104,0,1,84,0,0,202,180,0,"Nov",89
"1355","PhiladelphiaErs","OrlandoMagic",97,105,0,2015-11-07,202,0,0,102,1,1,92,0,0,210,179,0,"Nov",89
"1356","AtlantaHawks","WashingtonWizards",114,99,0,2015-11-07,213,1,0,121,0,0,98,0,0,236,216,0,"Nov",89
"1357","DallasMavericks","NewOrleansPelicans",107,98,0,2015-11-07,205,0,1,94,0,1,115,0,0,202,236,0,"Nov",89
"1358","MilwaukeeBucks","BrooklynNets",94,86,0,2015-11-07,180,1,0,99,0,1,98,0,0,191,202,0,"Nov",89
"1359","SanAntonioSpurs","CharlotteHornets",114,94,0,2015-11-07,208,0,0,99,1,0,108,0,0,201,202,0,"Nov",89
"1360","UtahJazz","MemphisGrizzlies",89,79,0,2015-11-07,168,1,0,96,0,0,96,0,0,180,211,0,"Nov",89
"1361","SacramentoKings","GoldenStateWarriors",94,103,0,2015-11-07,197,0,1,110,1,1,119,0,0,226,223,0,"Nov",89
"1362","LosAngelesClippers","HoustonRockets",105,109,0,2015-11-07,214,0,0,108,1,0,116,0,0,220,226,0,"Nov",89
"1363","ClevelandCavaliers","IndianaPacers",101,97,0,2015-11-08,198,1,1,108,1,1,90,0,0,210,177,0,"Nov",96
"1364","NewYorkKnicks","LosAngelesLakers",99,95,0,2015-11-08,194,0,1,92,1,0,104,0,0,191,202,0,"Nov",96
"1365","MiamiHeat","TorontoRaptors",96,76,0,2015-11-08,172,0,0,87,0,0,87,0,0,177,179,0,"Nov",96
