"","gospodarz","gosc","gospodarz_res","gosc_res","dogrywka","daty","total","win_gosp","gosp_gosp","gosp_past_points","win_gosc","gosc_gosp","gosc_past_points","gosp_past_add","gosc_past_add","gosp_past_total","gosc_past_total","gosp_past_add.1","mth","daty_r"
"1816","PhoenixSuns","MiamiHeat",95,103,0,2016-01-08,198,1,1,111,0,1,90,0,0,213,188,0,"Jan",544.5
"1817","PortlandTrailBlazers","GoldenStateWarriors",108,128,0,2016-01-08,236,0,1,98,1,0,109,0,0,207,197,0,"Jan",544.5
"1818","LosAngelesLakers","OklahomaCityThunder",113,117,0,2016-01-08,230,0,0,115,1,1,112,0,0,233,206,0,"Jan",544.5
"1819","LosAngelesClippers","CharlotteHornets",97,83,0,2016-01-09,180,1,0,109,0,0,102,0,0,207,213,0,"Jan",553
"1820","AtlantaHawks","ChicagoBulls",120,105,0,2016-01-09,225,1,0,126,1,1,101,0,0,224,193,0,"Jan",553
"1821","OrlandoMagic","WashingtonWizards",99,105,0,2016-01-09,204,1,0,83,0,1,88,0,0,160,185,0,"Jan",553
"1822","DetroitPistons","BrooklynNets",103,89,0,2016-01-09,192,1,0,99,0,1,77,0,0,193,160,0,"Jan",553
"1823","PhiladelphiaErs","TorontoRaptors",95,108,0,2016-01-09,203,0,1,98,1,0,97,0,0,224,185,0,"Jan",553
"1824","UtahJazz","MiamiHeat",98,83,0,2016-01-09,181,0,0,94,1,0,103,0,0,197,198,0,"Jan",553
"1825","SacramentoKings","GoldenStateWarriors",116,128,0,2016-01-09,244,1,1,118,1,0,128,0,0,233,236,0,"Jan",553
"1826","MinnesotaTimberwolves","DallasMavericks",87,93,0,2016-01-10,180,0,1,99,0,0,95,0,0,224,191,0,"Jan",561
"1827","LosAngelesClippers","NewOrleansPelicans",114,111,1,2016-01-10,225,1,1,97,0,1,86,0,0,180,177,0,"Jan",561
"1828","PhiladelphiaErs","ClevelandCavaliers",85,95,0,2016-01-10,180,0,1,95,1,0,125,0,0,203,224,0,"Jan",561
"1829","MemphisGrizzlies","BostonCeltics",101,98,0,2016-01-10,199,1,1,91,0,0,92,0,0,175,193,0,"Jan",561
"1830","HoustonRockets","IndianaPacers",107,103,1,2016-01-10,210,1,1,103,1,0,91,0,0,197,177,0,"Jan",561
"1831","NewYorkKnicks","MilwaukeeBucks",100,88,0,2016-01-10,188,0,0,99,1,1,96,0,0,199,191,0,"Jan",561
"1832","DenverNuggets","CharlotteHornets",95,92,0,2016-01-10,187,0,0,84,0,0,83,0,0,175,180,0,"Jan",561
"1833","PortlandTrailBlazers","OklahomaCityThunder",115,110,0,2016-01-10,225,0,1,108,1,0,117,0,0,236,230,0,"Jan",561
"1834","LosAngelesLakers","UtahJazz",74,86,0,2016-01-10,160,0,1,113,1,1,98,0,0,230,181,0,"Jan",561
"1835","BrooklynNets","SanAntonioSpurs",79,106,0,2016-01-11,185,0,0,89,1,1,100,0,0,192,199,0,"Jan",567
"1836","ChicagoBulls","WashingtonWizards",100,114,0,2016-01-11,214,0,0,105,1,0,105,0,0,225,204,0,"Jan",567
"1837","GoldenStateWarriors","MiamiHeat",111,103,0,2016-01-11,214,1,0,128,0,0,83,0,0,244,181,0,"Jan",567
"1838","IndianaPacers","PhoenixSuns",116,97,0,2016-01-12,213,0,0,103,0,1,95,1,0,210,198,1,"Jan",572.5
"1839","DetroitPistons","SanAntonioSpurs",99,109,0,2016-01-12,208,1,1,103,1,0,106,0,0,192,185,0,"Jan",572.5
"1840","NewYorkKnicks","BostonCeltics",120,114,0,2016-01-12,234,1,1,100,0,0,98,0,0,188,199,0,"Jan",572.5
"1841","MemphisGrizzlies","HoustonRockets",91,107,0,2016-01-12,198,1,1,101,1,1,107,0,1,199,210,0,"Jan",572.5
"1842","MilwaukeeBucks","ChicagoBulls",106,101,0,2016-01-12,207,0,0,88,0,1,100,0,0,188,214,0,"Jan",572.5
"1843","MinnesotaTimberwolves","OklahomaCityThunder",96,101,0,2016-01-12,197,0,1,87,0,0,110,0,0,180,225,0,"Jan",572.5
"1844","DallasMavericks","ClevelandCavaliers",107,110,1,2016-01-12,217,1,0,93,1,0,95,0,0,180,180,0,"Jan",572.5
"1845","LosAngelesLakers","NewOrleansPelicans",95,91,0,2016-01-12,186,0,1,74,0,0,111,0,1,160,225,0,"Jan",572.5
"1846","CharlotteHornets","AtlantaHawks",107,84,0,2016-01-13,191,0,0,92,1,1,120,0,0,187,225,0,"Jan",581.5
"1847","WashingtonWizards","MilwaukeeBucks",106,101,0,2016-01-13,207,1,0,114,1,1,106,0,0,214,207,0,"Jan",581.5
"1848","BrooklynNets","NewYorkKnicks",110,104,0,2016-01-13,214,0,1,79,1,1,120,0,0,185,234,0,"Jan",581.5
"1849","BostonCeltics","IndianaPacers",103,94,0,2016-01-13,197,0,0,114,1,1,116,0,0,234,213,0,"Jan",581.5
"1850","HoustonRockets","MinnesotaTimberwolves",107,104,0,2016-01-13,211,1,0,107,0,1,96,0,0,198,197,0,"Jan",581.5
"1851","OklahomaCityThunder","DallasMavericks",108,89,0,2016-01-13,197,1,0,101,0,1,107,0,1,197,217,0,"Jan",581.5
"1852","DenverNuggets","GoldenStateWarriors",112,110,0,2016-01-13,222,1,1,95,1,1,111,0,0,187,214,0,"Jan",581.5
"1853","PortlandTrailBlazers","UtahJazz",99,85,0,2016-01-13,184,1,1,115,1,0,86,0,0,225,160,0,"Jan",581.5
"1854","SacramentoKings","NewOrleansPelicans",97,109,0,2016-01-13,206,0,1,116,0,0,91,0,0,244,186,0,"Jan",581.5
"1855","LosAngelesClippers","MiamiHeat",104,90,0,2016-01-13,194,1,1,114,0,0,103,1,0,225,214,1,"Jan",581.5
"1856","OrlandoMagic","TorontoRaptors",103,106,1,2016-01-14,209,0,1,99,1,0,108,0,0,204,203,0,"Jan",589.5
"1857","PhiladelphiaErs","ChicagoBulls",111,115,1,2016-01-14,226,0,1,85,0,0,101,0,0,180,207,0,"Jan",589.5
"1858","MemphisGrizzlies","DetroitPistons",103,101,0,2016-01-14,204,0,1,91,0,1,99,0,0,198,208,0,"Jan",589.5
"1859","SanAntonioSpurs","ClevelandCavaliers",99,95,0,2016-01-14,194,1,0,109,1,0,110,0,1,208,217,0,"Jan",589.5
"1860","UtahJazz","SacramentoKings",101,103,0,2016-01-14,204,0,0,85,0,1,97,0,0,184,206,0,"Jan",589.5
"1861","GoldenStateWarriors","LosAngelesLakers",116,98,0,2016-01-14,214,0,0,110,1,1,95,0,0,222,186,0,"Jan",589.5
"1862","IndianaPacers","WashingtonWizards",104,118,0,2016-01-15,222,0,0,94,1,1,106,0,0,197,207,0,"Jan",597
"1863","OklahomaCityThunder","MinnesotaTimberwolves",113,93,0,2016-01-15,206,1,1,108,0,0,104,0,0,197,211,0,"Jan",597
"1864","BostonCeltics","PhoenixSuns",117,103,0,2016-01-15,220,1,1,103,0,0,97,0,0,197,213,0,"Jan",597
"1865","BrooklynNets","PortlandTrailBlazers",104,116,0,2016-01-15,220,1,1,110,1,1,99,0,0,214,184,0,"Jan",597
"1866","ChicagoBulls","DallasMavericks",77,83,0,2016-01-15,160,1,0,115,0,0,89,1,0,226,197,1,"Jan",597
"1867","NewOrleansPelicans","CharlotteHornets",109,107,0,2016-01-15,216,1,0,109,1,1,107,0,0,206,191,0,"Jan",597
"1868","MilwaukeeBucks","AtlantaHawks",108,101,1,2016-01-15,209,0,0,101,0,0,84,0,0,207,191,0,"Jan",597
"1869","DenverNuggets","MiamiHeat",95,98,0,2016-01-15,193,1,1,112,0,0,90,0,0,222,194,0,"Jan",597
"1870","HoustonRockets","ClevelandCavaliers",77,91,0,2016-01-15,168,1,1,107,0,0,95,0,0,211,194,0,"Jan",597
"1871","CharlotteHornets","MilwaukeeBucks",92,105,0,2016-01-16,197,0,0,107,1,1,108,0,1,216,209,0,"Jan",605.5
"1872","WashingtonWizards","BostonCeltics",117,119,0,2016-01-16,236,1,0,118,1,1,117,0,0,222,220,0,"Jan",605.5
"1873","AtlantaHawks","BrooklynNets",114,86,0,2016-01-16,200,0,0,101,0,1,104,1,0,209,220,1,"Jan",605.5
"1874","DetroitPistons","GoldenStateWarriors",113,95,0,2016-01-16,208,0,0,101,1,1,116,0,0,204,214,0,"Jan",605.5
"1875","PhiladelphiaErs","PortlandTrailBlazers",114,89,0,2016-01-16,203,0,1,111,1,0,116,1,0,226,220,1,"Jan",605.5
"1876","MemphisGrizzlies","NewYorkKnicks",103,95,0,2016-01-16,198,1,1,103,0,0,104,0,0,204,214,0,"Jan",605.5
"1877","UtahJazz","LosAngelesLakers",109,82,0,2016-01-16,191,0,1,101,0,0,98,0,0,204,214,0,"Jan",605.5
"1878","LosAngelesClippers","SacramentoKings",103,110,0,2016-01-16,213,1,1,104,1,0,103,0,0,194,204,0,"Jan",605.5
"1879","MinnesotaTimberwolves","PhoenixSuns",117,87,0,2016-01-17,204,0,0,93,0,0,103,0,0,206,220,0,"Jan",612
"1880","OklahomaCityThunder","MiamiHeat",99,74,0,2016-01-17,173,1,1,113,1,0,98,0,0,206,193,0,"Jan",612
"1881","SanAntonioSpurs","DallasMavericks",112,83,0,2016-01-17,195,1,1,99,1,0,83,0,0,194,160,0,"Jan",612
"1882","DenverNuggets","IndianaPacers",129,126,0,2016-01-17,255,0,1,95,0,1,104,0,0,193,222,0,"Jan",612
"1883","LosAngelesLakers","HoustonRockets",95,112,0,2016-01-17,207,0,0,82,0,1,77,0,0,191,168,0,"Jan",612
"1884","NewYorkKnicks","PhiladelphiaErs",119,113,2,2016-01-18,232,0,0,95,1,1,114,0,0,198,203,0,"Jan",619.5
"1885","CharlotteHornets","UtahJazz",124,119,2,2016-01-18,243,0,1,92,1,1,109,0,0,197,191,0,"Jan",619.5
"1886","WashingtonWizards","PortlandTrailBlazers",98,108,0,2016-01-18,206,0,1,117,0,0,89,0,0,236,203,0,"Jan",619.5
"1887","MemphisGrizzlies","NewOrleansPelicans",101,99,0,2016-01-18,200,1,1,103,1,1,109,0,0,198,216,0,"Jan",619.5
"1888","DetroitPistons","ChicagoBulls",101,111,0,2016-01-18,212,1,1,113,0,1,77,0,0,208,160,0,"Jan",619.5
"1889","AtlantaHawks","OrlandoMagic",98,81,0,2016-01-18,179,1,1,114,0,1,103,0,1,200,209,0,"Jan",619.5
"1890","TorontoRaptors","BrooklynNets",112,100,0,2016-01-18,212,1,0,106,0,0,86,1,0,209,200,1,"Jan",619.5
"1891","ClevelandCavaliers","GoldenStateWarriors",98,132,0,2016-01-18,230,1,0,91,0,0,95,0,0,168,208,0,"Jan",619.5
"1892","DallasMavericks","BostonCeltics",118,113,1,2016-01-18,231,0,0,83,1,0,119,0,0,195,236,0,"Jan",619.5
"1893","LosAngelesClippers","HoustonRockets",140,132,1,2016-01-18,272,0,1,103,1,0,112,0,0,213,207,0,"Jan",619.5
"1894","MiamiHeat","MilwaukeeBucks",79,91,0,2016-01-19,170,0,0,74,1,0,105,0,0,173,197,0,"Jan",626.5
"1895","NewOrleansPelicans","MinnesotaTimberwolves",114,99,0,2016-01-19,213,0,0,99,1,1,117,0,0,200,204,0,"Jan",626.5
"1896","DenverNuggets","OklahomaCityThunder",104,110,0,2016-01-19,214,1,1,129,1,1,99,0,0,255,173,0,"Jan",626.5
"1897","PhoenixSuns","IndianaPacers",94,97,0,2016-01-19,191,0,0,87,0,0,126,0,0,204,255,0,"Jan",626.5
"1898","OrlandoMagic","PhiladelphiaErs",87,96,0,2016-01-20,183,0,0,81,0,0,113,0,2,179,232,0,"Jan",634
"1899","WashingtonWizards","MiamiHeat",106,87,0,2016-01-20,193,0,1,98,0,1,79,0,0,206,170,0,"Jan",634
"1900","BrooklynNets","ClevelandCavaliers",78,91,0,2016-01-20,169,0,0,100,0,1,98,0,0,212,230,0,"Jan",634
"1901","NewYorkKnicks","UtahJazz",118,111,1,2016-01-20,229,1,1,119,0,0,119,2,2,232,243,2,"Jan",634
"1902","TorontoRaptors","BostonCeltics",115,109,0,2016-01-20,224,1,1,112,0,0,113,0,1,212,231,0,"Jan",634
"1903","ChicagoBulls","GoldenStateWarriors",94,125,0,2016-01-20,219,1,0,111,1,0,132,0,0,212,230,0,"Jan",634
"1904","HoustonRockets","DetroitPistons",114,123,0,2016-01-20,237,0,0,132,0,1,101,1,0,272,212,1,"Jan",634
"1905","OklahomaCityThunder","CharlotteHornets",109,95,0,2016-01-20,204,1,0,110,1,1,124,0,2,214,243,0,"Jan",634
"1906","DallasMavericks","MinnesotaTimberwolves",106,94,1,2016-01-20,200,1,1,118,0,0,99,1,0,231,213,1,"Jan",634
"1907","LosAngelesLakers","SacramentoKings",93,112,0,2016-01-20,205,0,1,95,1,0,110,0,0,207,213,0,"Jan",634
"1908","PortlandTrailBlazers","AtlantaHawks",98,104,0,2016-01-20,202,1,0,108,1,1,98,0,0,206,179,0,"Jan",634
"1909","ClevelandCavaliers","LosAngelesClippers",115,102,0,2016-01-21,217,1,0,91,1,1,140,0,1,169,272,0,"Jan",642
"1910","NewOrleansPelicans","DetroitPistons",115,99,0,2016-01-21,214,1,1,114,1,0,123,0,0,213,237,0,"Jan",642
"1911","DenverNuggets","MemphisGrizzlies",101,102,0,2016-01-21,203,0,1,104,1,1,101,0,0,214,200,0,"Jan",642
"1912","SacramentoKings","AtlantaHawks",91,88,0,2016-01-21,179,1,0,112,1,0,104,0,0,205,202,0,"Jan",642
"1913","PhoenixSuns","SanAntonioSpurs",89,117,0,2016-01-21,206,0,1,94,1,1,112,0,0,191,195,0,"Jan",642
"1914","OrlandoMagic","CharlotteHornets",116,120,1,2016-01-22,236,0,1,87,0,0,95,0,0,183,204,0,"Jan",649
"1915","BostonCeltics","ChicagoBulls",110,101,0,2016-01-22,211,0,0,109,0,1,94,0,0,224,219,0,"Jan",649
"1916","BrooklynNets","UtahJazz",86,108,0,2016-01-22,194,0,1,78,0,0,111,0,1,169,229,0,"Jan",649
"1917","NewYorkKnicks","LosAngelesClippers",88,116,0,2016-01-22,204,1,1,118,0,0,102,1,0,229,217,1,"Jan",649
"1918","TorontoRaptors","MiamiHeat",101,81,0,2016-01-22,182,1,1,115,0,0,87,0,0,224,193,0,"Jan",649
"1919","HoustonRockets","MilwaukeeBucks",102,98,0,2016-01-22,200,0,1,114,1,0,91,0,0,237,170,0,"Jan",649
"1920","DallasMavericks","OklahomaCityThunder",106,109,0,2016-01-22,215,1,1,106,1,1,109,1,0,200,204,1,"Jan",649
"1921","GoldenStateWarriors","IndianaPacers",122,110,0,2016-01-22,232,1,0,125,1,0,97,0,0,219,191,0,"Jan",649
"1922","LosAngelesLakers","SanAntonioSpurs",95,108,0,2016-01-22,203,0,1,93,1,0,117,0,0,205,206,0,"Jan",649
"1923","CharlotteHornets","NewYorkKnicks",97,84,0,2016-01-23,181,1,0,120,0,1,88,1,0,236,204,1,"Jan",657.5
"1924","NewOrleansPelicans","MilwaukeeBucks",116,99,0,2016-01-23,215,1,1,115,0,0,98,0,0,214,200,0,"Jan",657.5
"1925","MinnesotaTimberwolves","MemphisGrizzlies",106,101,0,2016-01-23,207,0,0,94,1,0,102,1,0,200,203,1,"Jan",657.5
"1926","ClevelandCavaliers","ChicagoBulls",83,96,0,2016-01-23,179,1,1,115,0,0,101,0,0,217,211,0,"Jan",657.5
"1927","PhoenixSuns","AtlantaHawks",98,95,0,2016-01-23,193,0,1,89,0,0,88,0,0,206,179,0,"Jan",657.5
"1928","DenverNuggets","DetroitPistons",104,101,0,2016-01-23,205,0,1,101,0,0,99,0,0,203,214,0,"Jan",657.5
"1929","PortlandTrailBlazers","LosAngelesLakers",121,103,0,2016-01-23,224,0,1,98,0,1,95,0,0,202,203,0,"Jan",657.5
"1930","SacramentoKings","IndianaPacers",108,97,0,2016-01-23,205,1,1,91,0,0,110,0,0,179,232,0,"Jan",657.5
"1931","PhiladelphiaErs","BostonCeltics",92,112,0,2016-01-24,204,1,0,96,1,1,110,0,0,183,211,0,"Jan",663.5
"1932","BrooklynNets","OklahomaCityThunder",116,106,0,2016-01-24,222,0,1,86,1,0,109,0,0,194,215,0,"Jan",663.5
"1933","HoustonRockets","DallasMavericks",115,104,0,2016-01-24,219,1,1,102,0,1,106,0,0,200,215,0,"Jan",663.5
"1934","TorontoRaptors","LosAngelesClippers",112,94,0,2016-01-24,206,1,1,101,1,0,116,0,0,182,204,0,"Jan",663.5
"1935","ClevelandCavaliers","MinnesotaTimberwolves",114,107,0,2016-01-25,221,0,1,83,1,1,106,0,0,179,207,0,"Jan",670
"1936","WashingtonWizards","BostonCeltics",91,116,0,2016-01-25,207,1,1,106,1,0,112,0,0,193,204,0,"Jan",670
"1937","ChicagoBulls","MiamiHeat",84,89,0,2016-01-25,173,1,0,96,0,0,81,0,0,179,182,0,"Jan",670
"1938","MemphisGrizzlies","OrlandoMagic",108,102,1,2016-01-25,210,0,0,101,0,1,116,0,1,207,236,0,"Jan",670
"1939","NewOrleansPelicans","HoustonRockets",111,112,0,2016-01-25,223,1,1,116,1,1,115,0,0,215,219,0,"Jan",670
"1940","DenverNuggets","AtlantaHawks",105,119,0,2016-01-25,224,1,1,104,0,0,95,0,0,205,193,0,"Jan",670
"1941","UtahJazz","DetroitPistons",92,95,0,2016-01-25,187,1,0,108,0,0,101,0,0,194,205,0,"Jan",670
"1942","SacramentoKings","CharlotteHornets",128,129,2,2016-01-25,257,1,1,108,1,1,97,0,0,205,181,0,"Jan",670
"1943","GoldenStateWarriors","SanAntonioSpurs",120,90,0,2016-01-25,210,1,1,122,1,0,108,0,0,232,203,0,"Jan",670
"1944","IndianaPacers","LosAngelesClippers",89,91,0,2016-01-26,180,0,0,97,0,0,94,0,0,205,206,0,"Jan",678.5
"1945","PhiladelphiaErs","PhoenixSuns",113,103,0,2016-01-26,216,0,1,92,1,1,98,0,0,204,193,0,"Jan",678.5
"1946","BrooklynNets","MiamiHeat",98,102,0,2016-01-26,200,1,1,116,1,0,89,0,0,222,173,0,"Jan",678.5
"1947","NewYorkKnicks","OklahomaCityThunder",122,128,1,2016-01-26,250,0,0,84,0,0,106,0,0,181,222,0,"Jan",678.5
"1948","TorontoRaptors","WashingtonWizards",106,89,0,2016-01-26,195,1,1,112,0,1,91,0,0,206,207,0,"Jan",678.5
"1949","MilwaukeeBucks","OrlandoMagic",107,100,0,2016-01-26,207,0,0,99,0,0,102,0,1,215,210,0,"Jan",678.5
"1950","PortlandTrailBlazers","SacramentoKings",112,97,0,2016-01-26,209,1,1,121,0,1,128,0,2,224,257,0,"Jan",678.5
"1951","LosAngelesLakers","DallasMavericks",90,92,0,2016-01-26,182,0,0,103,0,0,104,0,0,224,219,0,"Jan",678.5
"1952","ClevelandCavaliers","PhoenixSuns",115,93,0,2016-01-27,208,1,1,114,0,0,103,0,0,221,216,0,"Jan",686.5
"1953","BostonCeltics","DenverNuggets",111,103,0,2016-01-27,214,1,0,116,0,1,105,0,0,207,224,0,"Jan",686.5
"1954","DetroitPistons","PhiladelphiaErs",110,97,0,2016-01-27,207,1,0,95,1,1,113,0,0,187,216,0,"Jan",686.5
"1955","AtlantaHawks","LosAngelesClippers",83,85,0,2016-01-27,168,1,0,119,1,0,91,0,0,224,180,0,"Jan",686.5
"1956","MinnesotaTimberwolves","OklahomaCityThunder",123,126,0,2016-01-27,249,0,0,107,1,0,128,0,1,221,250,0,"Jan",686.5
"1957","SanAntonioSpurs","HoustonRockets",130,99,0,2016-01-27,229,0,0,90,1,0,112,0,0,210,223,0,"Jan",686.5
"1958","UtahJazz","CharlotteHornets",102,73,0,2016-01-27,175,0,1,92,1,0,129,0,2,187,257,0,"Jan",686.5
"1959","GoldenStateWarriors","DallasMavericks",127,107,0,2016-01-27,234,1,1,120,1,0,92,0,0,210,182,0,"Jan",686.5
"1960","IndianaPacers","AtlantaHawks",111,92,0,2016-01-28,203,0,1,89,0,1,83,0,0,180,168,0,"Jan",693.5
"1961","WashingtonWizards","DenverNuggets",113,117,0,2016-01-28,230,0,0,89,0,0,103,0,0,195,214,0,"Jan",693.5
"1962","TorontoRaptors","NewYorkKnicks",103,93,0,2016-01-28,196,1,1,106,0,1,122,0,1,195,250,0,"Jan",693.5
"1963","MemphisGrizzlies","MilwaukeeBucks",103,83,0,2016-01-28,186,1,1,108,1,1,107,1,0,210,207,1,"Jan",693.5
"1964","NewOrleansPelicans","SacramentoKings",114,105,0,2016-01-28,219,0,1,111,0,0,97,0,0,223,209,0,"Jan",693.5
"1965","LosAngelesLakers","ChicagoBulls",91,114,0,2016-01-28,205,0,1,90,0,1,84,0,0,182,173,0,"Jan",693.5
"1966","BostonCeltics","OrlandoMagic",113,94,0,2016-01-29,207,1,1,111,0,0,100,0,0,214,207,0,"Jan",701
"1967","DetroitPistons","ClevelandCavaliers",106,114,0,2016-01-29,220,1,1,110,1,1,115,0,0,207,208,0,"Jan",701
"1968","NewYorkKnicks","PhoenixSuns",102,84,0,2016-01-29,186,0,0,93,0,0,93,0,0,196,208,0,"Jan",701
"1969","OklahomaCityThunder","HoustonRockets",116,108,0,2016-01-29,224,1,0,126,0,0,99,0,0,249,229,0,"Jan",701
"1970","MilwaukeeBucks","MiamiHeat",103,107,0,2016-01-29,210,0,0,83,1,0,102,0,0,186,200,0,"Jan",701
"1971","DallasMavericks","BrooklynNets",91,79,0,2016-01-29,170,0,0,107,0,1,98,0,0,234,200,0,"Jan",701
"1972","UtahJazz","MinnesotaTimberwolves",103,90,0,2016-01-29,193,1,1,102,0,1,123,0,0,175,249,0,"Jan",701
"1973","PortlandTrailBlazers","CharlotteHornets",109,91,0,2016-01-29,200,1,1,112,0,0,73,0,0,209,175,0,"Jan",701
"1974","LosAngelesClippers","LosAngelesLakers",105,93,0,2016-01-29,198,1,0,85,0,1,91,0,0,168,205,0,"Jan",701
"1975","PhiladelphiaErs","GoldenStateWarriors",105,108,0,2016-01-30,213,0,0,97,1,1,127,0,0,207,234,0,"Jan",709
"1976","TorontoRaptors","DetroitPistons",111,107,0,2016-01-30,218,1,1,103,0,1,106,0,0,196,220,0,"Jan",709
"1977","IndianaPacers","DenverNuggets",109,105,1,2016-01-30,214,1,1,111,1,0,117,0,0,203,230,0,"Jan",709
"1978","NewOrleansPelicans","BrooklynNets",105,103,0,2016-01-30,208,1,1,114,0,0,79,0,0,219,170,0,"Jan",709
"1979","HoustonRockets","WashingtonWizards",122,123,0,2016-01-30,245,0,0,108,0,1,113,0,0,224,230,0,"Jan",709
"1980","MemphisGrizzlies","SacramentoKings",121,117,0,2016-01-30,238,1,1,103,0,0,105,0,0,186,219,0,"Jan",709
"1981","ClevelandCavaliers","SanAntonioSpurs",117,103,0,2016-01-30,220,1,0,114,1,1,130,0,0,220,229,0,"Jan",709
"1982","LosAngelesClippers","ChicagoBulls",120,93,0,2016-01-31,213,1,1,105,1,0,114,0,0,198,205,0,"Jan",716
"1983","MiamiHeat","AtlantaHawks",105,87,0,2016-01-31,192,1,0,107,0,0,92,0,0,210,203,0,"Jan",716
"1984","OrlandoMagic","BostonCeltics",119,114,0,2016-01-31,233,0,0,94,1,1,113,0,0,207,207,0,"Jan",716
"1985","DallasMavericks","PhoenixSuns",91,78,0,2016-01-31,169,1,1,91,0,0,84,0,0,170,186,0,"Jan",716
"1986","NewYorkKnicks","GoldenStateWarriors",95,116,0,2016-01-31,211,1,1,102,1,0,108,0,0,186,213,0,"Jan",716
"1987","PortlandTrailBlazers","MinnesotaTimberwolves",96,93,0,2016-01-31,189,1,1,109,0,0,90,0,0,200,193,0,"Jan",716
"1988","LosAngelesLakers","CharlotteHornets",82,101,0,2016-01-31,183,0,0,93,0,0,91,0,0,198,200,0,"Jan",716
"1989","IndianaPacers","ClevelandCavaliers",106,111,1,2016-02-01,217,1,1,109,1,1,117,1,0,214,220,1,"Feb",724
"1990","BrooklynNets","DetroitPistons",100,105,0,2016-02-01,205,0,0,103,0,0,107,0,0,208,218,0,"Feb",724
"1991","AtlantaHawks","DallasMavericks",112,97,0,2016-02-01,209,0,0,87,1,1,91,0,0,192,169,0,"Feb",724
"1992","NewOrleansPelicans","MemphisGrizzlies",95,110,0,2016-02-01,205,1,1,105,1,1,121,0,0,208,238,0,"Feb",724
"1993","OklahomaCityThunder","WashingtonWizards",114,98,0,2016-02-01,212,1,1,116,1,0,123,0,0,224,245,0,"Feb",724
"1994","SanAntonioSpurs","OrlandoMagic",107,92,0,2016-02-01,199,0,0,103,1,1,119,0,0,220,233,0,"Feb",724
"1995","DenverNuggets","TorontoRaptors",112,93,0,2016-02-01,205,0,0,105,1,1,111,1,0,214,218,1,"Feb",724
"1996","UtahJazz","ChicagoBulls",105,96,1,2016-02-01,201,1,1,103,0,0,93,0,0,193,213,0,"Feb",724
"1997","SacramentoKings","MilwaukeeBucks",111,104,0,2016-02-01,215,0,0,117,0,1,103,0,0,238,210,0,"Feb",724
"1998","NewYorkKnicks","BostonCeltics",89,97,0,2016-02-02,186,0,1,95,0,0,114,0,0,211,233,0,"Feb",731
"1999","HoustonRockets","MiamiHeat",115,102,0,2016-02-02,217,0,1,122,1,1,105,0,0,245,192,0,"Feb",731
"2000","PhoenixSuns","TorontoRaptors",97,104,0,2016-02-02,201,0,0,78,0,0,93,0,0,169,205,0,"Feb",731
"2001","PortlandTrailBlazers","MilwaukeeBucks",107,95,0,2016-02-02,202,1,1,96,0,0,104,0,0,189,215,0,"Feb",731
"2002","LosAngelesLakers","MinnesotaTimberwolves",119,115,0,2016-02-02,234,0,1,82,0,0,93,0,0,183,189,0,"Feb",731
"2003","CharlotteHornets","ClevelandCavaliers",106,97,0,2016-02-03,203,1,0,101,1,0,111,0,1,183,217,0,"Feb",739
"2004","PhiladelphiaErs","AtlantaHawks",86,124,0,2016-02-03,210,0,1,105,1,1,112,0,0,213,209,0,"Feb",739
"2005","BostonCeltics","DetroitPistons",102,95,0,2016-02-03,197,1,0,97,1,0,105,0,0,186,205,0,"Feb",739
"2006","BrooklynNets","IndianaPacers",100,114,0,2016-02-03,214,0,1,100,0,1,106,0,1,205,217,0,"Feb",739
"2007","WashingtonWizards","GoldenStateWarriors",121,134,0,2016-02-03,255,0,0,98,1,0,116,0,0,212,211,0,"Feb",739
"2008","OklahomaCityThunder","OrlandoMagic",117,114,0,2016-02-03,231,1,1,114,0,0,92,0,0,212,199,0,"Feb",739
"2009","DallasMavericks","MiamiHeat",90,93,0,2016-02-03,183,0,0,97,0,0,102,0,0,209,217,0,"Feb",739
"2010","SanAntonioSpurs","NewOrleansPelicans",110,97,0,2016-02-03,207,1,1,107,0,1,95,0,0,199,205,0,"Feb",739
"2011","UtahJazz","DenverNuggets",85,81,0,2016-02-03,166,1,1,105,1,1,112,1,0,201,205,1,"Feb",739
"2012","SacramentoKings","ChicagoBulls",102,107,0,2016-02-03,209,1,1,111,0,0,96,0,1,215,201,0,"Feb",739
"2013","LosAngelesClippers","MinnesotaTimberwolves",102,108,0,2016-02-03,210,1,1,120,0,0,115,0,0,213,234,0,"Feb",739
"2014","DetroitPistons","NewYorkKnicks",111,105,0,2016-02-04,216,0,0,95,0,1,89,0,0,197,186,0,"Feb",746.5
"2015","NewOrleansPelicans","LosAngelesLakers",96,99,0,2016-02-04,195,0,0,97,1,1,119,0,0,207,234,0,"Feb",746.5
"2016","PortlandTrailBlazers","TorontoRaptors",103,110,0,2016-02-04,213,1,1,107,1,0,104,0,0,202,201,0,"Feb",746.5
"2017","PhoenixSuns","HoustonRockets",105,111,0,2016-02-04,216,0,1,97,1,1,115,0,0,201,217,0,"Feb",746.5
"2018","AtlantaHawks","IndianaPacers",102,96,0,2016-02-05,198,1,0,124,1,0,114,0,0,210,214,0,"Feb",753.5
"2019","CharlotteHornets","MiamiHeat",95,98,0,2016-02-05,193,1,1,106,1,0,93,0,0,203,183,0,"Feb",753.5
