"","gospodarz","gosc","gospodarz_res","gosc_res","dogrywka","daty","total","win_gosp","gosp_gosp","gosp_past_points","win_gosc","gosc_gosp","gosc_past_points","gosp_past_add","gosc_past_add","gosp_past_total","gosp_past_add.1"
"154","LosAngelesClippers","ChicagoBulls",89,105,0,2014-11-17,194,1,1,120,0,1,90,0,0,227,0
"155","AtlantaHawks","LosAngelesLakers",109,114,0,2014-11-18,223,0,0,94,0,1,115,0,0,221,0
"156","MilwaukeeBucks","NewYorkKnicks",117,113,0,2014-11-18,230,1,0,91,1,1,109,0,0,175,0
"157","UtahJazz","OklahomaCityThunder",98,81,0,2014-11-18,179,0,0,93,0,1,65,0,0,204,0
"158","SacramentoKings","NewOrleansPelicans",100,106,0,2014-11-18,206,1,1,94,0,0,93,0,0,185,0
"159","ClevelandCavaliers","SanAntonioSpurs",90,92,0,2014-11-19,182,0,1,97,1,1,100,0,0,203,0
"160","IndianaPacers","CharlotteHornets",88,86,0,2014-11-19,174,1,0,99,0,1,80,0,0,189,0
"161","OrlandoMagic","LosAngelesClippers",90,114,0,2014-11-19,204,1,0,107,0,1,89,0,0,200,0
"162","PhiladelphiaErs","BostonCeltics",90,101,0,2014-11-19,191,0,0,75,0,1,114,0,0,175,0
"163","WashingtonWizards","DallasMavericks",102,105,0,2014-11-19,207,1,1,98,1,0,107,0,0,191,0
"164","BrooklynNets","MilwaukeeBucks",118,122,2,2014-11-19,240,0,1,83,1,1,117,0,0,178,0
"165","DetroitPistons","PhoenixSuns",86,88,0,2014-11-19,174,0,1,93,1,0,118,0,0,200,0
"166","TorontoRaptors","MemphisGrizzlies",96,92,0,2014-11-19,188,1,1,111,1,1,119,0,0,204,0
"167","MinnesotaTimberwolves","NewYorkKnicks",115,99,0,2014-11-19,214,0,0,117,0,0,113,0,0,248,0
"168","DenverNuggets","OklahomaCityThunder",107,100,0,2014-11-19,207,1,0,106,0,0,81,0,0,203,0
"169","HoustonRockets","LosAngelesLakers",92,98,0,2014-11-19,190,0,0,93,1,0,114,0,0,212,0
"170","MiamiHeat","LosAngelesClippers",93,110,0,2014-11-20,203,1,0,95,1,0,114,0,0,178,0
"171","SacramentoKings","ChicagoBulls",103,88,0,2014-11-20,191,0,1,100,1,0,105,0,0,206,0
"172","CharlotteHornets","OrlandoMagic",100,105,0,2014-11-21,205,0,0,86,0,1,90,0,0,174,0
"173","PhiladelphiaErs","PhoenixSuns",96,122,0,2014-11-21,218,0,1,90,1,0,88,0,0,191,0
"174","AtlantaHawks","DetroitPistons",99,89,0,2014-11-21,188,0,1,109,0,1,86,0,0,223,0
"175","TorontoRaptors","MilwaukeeBucks",124,82,0,2014-11-21,206,1,1,96,1,0,122,0,2,188,0
"176","MemphisGrizzlies","BostonCeltics",117,100,0,2014-11-21,217,0,0,92,1,0,101,0,0,188,0
"177","MinnesotaTimberwolves","SanAntonioSpurs",92,121,0,2014-11-21,213,1,1,115,1,0,92,0,0,214,0
"178","OklahomaCityThunder","BrooklynNets",92,94,0,2014-11-21,186,0,0,100,0,1,118,0,2,207,0
"179","WashingtonWizards","ClevelandCavaliers",91,78,0,2014-11-21,169,0,1,102,0,1,90,0,0,207,0
"180","DallasMavericks","LosAngelesLakers",140,106,0,2014-11-21,246,1,0,105,1,0,98,0,0,207,0
"181","DenverNuggets","NewOrleansPelicans",117,97,0,2014-11-21,214,1,1,107,1,0,106,0,0,207,0
"182","GoldenStateWarriors","UtahJazz",101,88,0,2014-11-21,189,1,0,136,1,1,98,0,0,251,0
"183","PortlandTrailBlazers","ChicagoBulls",105,87,0,2014-11-21,192,1,1,102,0,0,88,0,0,195,0
"184","IndianaPacers","PhoenixSuns",83,106,0,2014-11-22,189,1,1,88,1,0,122,0,0,174,0
"185","OrlandoMagic","MiamiHeat",92,99,0,2014-11-22,191,1,0,105,0,1,93,0,0,205,0
