"","gospodarz","gosc","gospodarz_res","gosc_res","dogrywka","daty","total","win_gosp","gosp_gosp","gosp_past_points","win_gosc","gosc_gosp","gosc_past_points","gosp_past_add","gosc_past_add","gosp_past_total","gosp_past_add.1"
"744","BrooklynNets","NewYorkKnicks",92,88,0,2015-02-06,180,1,0,109,0,1,97,0,0,202,0
"745","IndianaPacers","ClevelandCavaliers",103,99,0,2015-02-06,202,1,1,114,1,1,105,0,0,223,0
"746","OrlandoMagic","LosAngelesLakers",103,97,1,2015-02-06,200,0,0,103,0,0,105,0,1,213,0
"747","AtlantaHawks","GoldenStateWarriors",124,116,0,2015-02-06,240,1,1,105,1,1,128,0,0,201,0
"748","BostonCeltics","PhiladelphiaErs",107,96,0,2015-02-06,203,1,1,104,1,1,105,0,0,204,0
"749","DetroitPistons","DenverNuggets",98,88,0,2015-02-06,186,0,0,109,0,0,100,0,0,223,0
"750","TorontoRaptors","LosAngelesClippers",123,107,0,2015-02-06,230,0,1,93,0,0,94,0,0,202,0
"751","HoustonRockets","MilwaukeeBucks",117,111,0,2015-02-06,228,1,1,101,1,1,113,0,1,191,0
"752","MinnesotaTimberwolves","MemphisGrizzlies",90,89,0,2015-02-06,179,1,1,102,1,0,100,0,0,203,0
"753","OklahomaCityThunder","NewOrleansPelicans",113,116,0,2015-02-06,229,1,0,102,0,1,91,0,0,193,0
"754","PhoenixSuns","UtahJazz",100,93,0,2015-02-06,193,0,0,87,0,1,90,0,0,195,0
"755","SanAntonioSpurs","MiamiHeat",98,85,0,2015-02-06,183,1,1,110,0,0,101,0,0,213,0
"756","NewOrleansPelicans","ChicagoBulls",72,107,0,2015-02-07,179,1,0,116,0,0,90,0,0,229,0
"757","WashingtonWizards","BrooklynNets",114,77,0,2015-02-07,191,0,0,87,1,1,92,0,0,181,0
"758","NewYorkKnicks","GoldenStateWarriors",92,106,0,2015-02-07,198,0,0,88,0,0,116,0,0,180,0
"759","PhiladelphiaErs","CharlotteHornets",89,81,0,2015-02-07,170,0,0,96,1,1,94,0,0,203,0
"760","DallasMavericks","PortlandTrailBlazers",111,101,1,2015-02-07,212,1,0,101,1,1,108,0,0,179,0
"761","MilwaukeeBucks","BostonCeltics",96,93,0,2015-02-07,189,0,0,111,1,1,107,0,0,228,0
"762","UtahJazz","SacramentoKings",102,90,0,2015-02-07,192,0,0,93,0,1,78,0,0,193,0
"763","OklahomaCityThunder","LosAngelesClippers",131,108,0,2015-02-08,239,0,1,113,0,0,107,0,0,229,0
"764","ClevelandCavaliers","LosAngelesLakers",120,105,0,2015-02-08,225,0,0,99,0,0,97,0,1,202,0
"765","MemphisGrizzlies","AtlantaHawks",94,88,0,2015-02-08,182,0,0,89,1,1,124,0,0,179,0
"766","CharlotteHornets","IndianaPacers",102,103,0,2015-02-08,205,0,0,81,1,1,103,0,0,170,0
"767","DetroitPistons","MinnesotaTimberwolves",101,112,0,2015-02-08,213,1,1,98,1,1,90,0,0,186,0
"768","OrlandoMagic","ChicagoBulls",97,98,0,2015-02-08,195,1,1,103,1,0,107,1,0,200,1
"769","HoustonRockets","PortlandTrailBlazers",98,109,0,2015-02-08,207,1,1,117,0,0,101,0,1,228,0
"770","TorontoRaptors","SanAntonioSpurs",87,82,0,2015-02-08,169,1,1,123,1,1,98,0,0,230,0
"771","SacramentoKings","PhoenixSuns",85,83,0,2015-02-08,168,0,0,90,1,1,100,0,0,192,0
"772","IndianaPacers","SanAntonioSpurs",93,95,0,2015-02-09,188,1,0,103,0,0,82,0,0,205,0
"773","PhiladelphiaErs","GoldenStateWarriors",84,89,0,2015-02-09,173,1,1,89,1,0,106,0,0,170,0
"774","WashingtonWizards","OrlandoMagic",96,80,0,2015-02-09,176,1,1,114,0,1,97,0,0,191,0
"775","MiamiHeat","NewYorkKnicks",109,95,0,2015-02-09,204,0,0,85,0,1,92,0,0,183,0
"776","MilwaukeeBucks","BrooklynNets",103,97,0,2015-02-09,200,1,1,96,0,0,77,0,0,189,0
"777","MinnesotaTimberwolves","AtlantaHawks",105,117,0,2015-02-09,222,1,0,112,0,0,88,0,0,213,0
"778","NewOrleansPelicans","UtahJazz",96,100,0,2015-02-09,196,0,1,72,1,1,102,0,0,179,0
"779","DallasMavericks","LosAngelesClippers",98,115,0,2015-02-09,213,1,1,111,0,0,108,1,0,212,1
"780","DenverNuggets","OklahomaCityThunder",114,124,0,2015-02-09,238,0,0,88,1,1,131,0,0,186,0
"781","CharlotteHornets","DetroitPistons",78,106,0,2015-02-10,184,0,1,102,0,1,101,0,0,205,0
"782","PhoenixSuns","HoustonRockets",118,127,0,2015-02-10,245,0,0,83,0,1,98,0,0,168,0
"783","ChicagoBulls","SacramentoKings",104,86,0,2015-02-10,190,1,0,98,1,1,85,0,0,195,0
"784","MemphisGrizzlies","BrooklynNets",95,86,0,2015-02-10,181,1,1,94,0,0,97,0,0,182,0
"785","LosAngelesLakers","DenverNuggets",96,106,0,2015-02-10,202,0,0,105,0,1,114,0,0,225,0
"786","OrlandoMagic","NewYorkKnicks",89,83,0,2015-02-11,172,0,0,80,0,0,95,0,0,176,0
"787","BostonCeltics","AtlantaHawks",89,88,0,2015-02-11,177,0,0,93,1,0,117,0,0,189,0
"788","DetroitPistons","SanAntonioSpurs",87,104,0,2015-02-11,191,1,0,106,1,0,95,0,0,184,0
"789","TorontoRaptors","WashingtonWizards",95,93,0,2015-02-11,188,1,1,87,1,1,96,0,0,169,0
"790","MilwaukeeBucks","SacramentoKings",111,103,0,2015-02-11,214,1,1,103,0,0,86,0,0,200,0
"791","MinnesotaTimberwolves","GoldenStateWarriors",91,94,0,2015-02-11,185,0,1,105,1,0,89,0,0,222,0
"792","NewOrleansPelicans","IndianaPacers",93,106,0,2015-02-11,199,0,1,96,0,1,93,0,0,196,0
"793","OklahomaCityThunder","MemphisGrizzlies",105,89,0,2015-02-11,194,1,0,124,1,1,95,0,0,238,0
"794","ClevelandCavaliers","MiamiHeat",113,93,0,2015-02-11,206,1,1,120,1,1,109,0,0,225,0
"795","DallasMavericks","UtahJazz",87,82,0,2015-02-11,169,0,1,98,1,0,100,0,0,213,0
"796","PortlandTrailBlazers","LosAngelesLakers",102,86,0,2015-02-11,188,1,0,109,0,1,96,0,0,207,0
"797","LosAngelesClippers","HoustonRockets",110,95,0,2015-02-11,205,1,0,115,1,0,127,0,0,213,0
"798","ChicagoBulls","ClevelandCavaliers",113,98,0,2015-02-12,211,1,1,104,1,1,113,0,0,190,0
"799","OklahomaCityThunder","DallasMavericks",104,89,0,2015-02-19,193,1,1,105,1,1,87,0,0,194,0
"800","LosAngelesClippers","SanAntonioSpurs",119,115,0,2015-02-19,234,1,1,110,1,0,104,0,0,205,0
"801","OrlandoMagic","NewOrleansPelicans",95,84,0,2015-02-20,179,1,1,89,0,1,93,0,0,172,0
"802","PhiladelphiaErs","IndianaPacers",95,106,0,2015-02-20,201,0,1,84,1,0,106,0,0,173,0
"803","AtlantaHawks","TorontoRaptors",80,105,0,2015-02-20,185,0,0,88,1,1,95,0,0,177,0
"804","DetroitPistons","ChicagoBulls",100,91,0,2015-02-20,191,0,1,87,1,1,113,0,0,191,0
"805","NewYorkKnicks","MiamiHeat",87,111,0,2015-02-20,198,0,0,83,0,0,93,0,0,172,0
"806","MinnesotaTimberwolves","PhoenixSuns",111,109,0,2015-02-20,220,0,1,91,0,1,118,0,0,185,0
"807","WashingtonWizards","ClevelandCavaliers",89,127,0,2015-02-20,216,0,0,93,0,0,98,0,0,188,0
"808","DallasMavericks","HoustonRockets",111,100,0,2015-02-20,211,0,0,89,0,0,95,0,0,193,0
"809","MilwaukeeBucks","DenverNuggets",89,81,0,2015-02-20,170,1,1,111,1,0,106,0,0,214,0
"810","UtahJazz","PortlandTrailBlazers",92,76,0,2015-02-20,168,0,0,82,1,1,102,0,0,169,0
"811","SacramentoKings","BostonCeltics",109,101,0,2015-02-20,210,0,0,103,1,1,89,0,0,214,0
"812","GoldenStateWarriors","SanAntonioSpurs",110,99,0,2015-02-20,209,1,0,94,0,0,115,0,0,185,0
"813","LosAngelesLakers","BrooklynNets",105,114,0,2015-02-20,219,0,0,86,0,0,86,0,0,188,0
"814","CharlotteHornets","OklahomaCityThunder",103,110,0,2015-02-21,213,0,1,78,1,1,104,0,0,184,0
"815","MiamiHeat","NewOrleansPelicans",91,105,0,2015-02-21,196,1,0,111,0,0,84,0,0,198,0
"816","ChicagoBulls","PhoenixSuns",112,107,0,2015-02-21,219,0,0,91,0,0,109,0,0,191,0
"817","HoustonRockets","TorontoRaptors",98,76,0,2015-02-21,174,0,0,100,1,0,105,0,0,211,0
"818","LosAngelesClippers","SacramentoKings",126,99,0,2015-02-21,225,1,1,119,1,1,109,0,0,234,0
"819","NewYorkKnicks","ClevelandCavaliers",83,101,0,2015-02-22,184,0,1,87,1,0,127,0,0,198,0
"820","MilwaukeeBucks","AtlantaHawks",86,97,0,2015-02-22,183,1,1,89,0,1,80,0,0,170,0
"821","DetroitPistons","WashingtonWizards",106,89,0,2015-02-22,195,1,1,100,0,1,89,0,0,191,0
"822","IndianaPacers","GoldenStateWarriors",104,98,0,2015-02-22,202,1,0,106,1,1,110,0,0,201,0
"823","OrlandoMagic","PhiladelphiaErs",103,98,0,2015-02-22,201,1,1,95,0,1,95,0,0,179,0
"824","OklahomaCityThunder","DenverNuggets",119,94,0,2015-02-22,213,1,0,110,0,0,81,0,0,213,0
"825","DallasMavericks","CharlotteHornets",92,81,0,2015-02-22,173,1,1,111,0,1,103,0,0,211,0
"826","PortlandTrailBlazers","MemphisGrizzlies",92,98,0,2015-02-22,190,0,0,76,0,0,89,0,0,168,0
"827","LosAngelesLakers","BostonCeltics",118,111,1,2015-02-22,229,0,1,105,0,0,101,0,0,219,0
"828","MiamiHeat","PhiladelphiaErs",119,108,0,2015-02-23,227,0,1,91,0,0,98,0,0,196,0
"829","ChicagoBulls","MilwaukeeBucks",87,71,0,2015-02-23,158,1,1,112,0,1,86,0,0,219,0
"830","HoustonRockets","MinnesotaTimberwolves",113,102,0,2015-02-23,215,1,1,98,1,1,111,0,0,174,0
"831","NewOrleansPelicans","TorontoRaptors",100,97,0,2015-02-23,197,1,0,105,0,0,76,0,0,196,0
"832","DenverNuggets","BrooklynNets",82,110,0,2015-02-23,192,0,0,94,1,0,114,0,0,213,0
"833","PhoenixSuns","BostonCeltics",110,115,0,2015-02-23,225,0,0,107,0,0,111,0,1,219,0
"834","UtahJazz","SanAntonioSpurs",90,81,0,2015-02-23,171,1,1,92,0,0,99,0,0,168,0
"835","LosAngelesClippers","MemphisGrizzlies",87,90,0,2015-02-23,177,1,1,126,1,0,98,0,0,225,0
"836","WashingtonWizards","GoldenStateWarriors",107,114,0,2015-02-24,221,0,0,89,0,0,98,0,0,195,0
"837","DetroitPistons","ClevelandCavaliers",93,102,0,2015-02-24,195,1,1,106,1,0,101,0,0,195,0
"838","OklahomaCityThunder","IndianaPacers",105,92,0,2015-02-24,197,1,1,119,1,1,104,0,0,213,0
"839","DallasMavericks","TorontoRaptors",99,92,0,2015-02-24,191,1,1,92,0,0,97,0,0,173,0
"840","HoustonRockets","LosAngelesClippers",110,105,0,2015-02-25,215,1,1,113,0,1,87,0,0,215,0
"841","MilwaukeeBucks","PhiladelphiaErs",104,88,0,2015-02-25,192,0,0,71,0,0,108,0,0,158,0
"842","MinnesotaTimberwolves","WashingtonWizards",97,77,0,2015-02-25,174,0,0,102,0,1,107,0,0,215,0
"843","NewOrleansPelicans","BrooklynNets",102,96,0,2015-02-25,198,1,1,100,1,0,110,0,0,197,0
"844","DenverNuggets","PhoenixSuns",96,110,0,2015-02-25,206,0,1,82,0,1,110,0,0,192,0
"845","UtahJazz","LosAngelesLakers",97,100,0,2015-02-25,197,1,1,90,1,1,118,0,1,171,0
"846","SacramentoKings","MemphisGrizzlies",102,90,0,2015-02-25,192,0,0,99,1,0,90,0,0,225,0
"847","PortlandTrailBlazers","SanAntonioSpurs",111,95,0,2015-02-25,206,0,1,92,0,0,81,0,0,190,0
"848","OrlandoMagic","MiamiHeat",90,93,1,2015-02-25,183,1,1,103,1,1,119,0,0,201,0
"849","AtlantaHawks","DallasMavericks",104,87,0,2015-02-25,191,1,0,97,1,1,99,0,0,183,0
"850","BostonCeltics","NewYorkKnicks",115,94,0,2015-02-25,209,1,0,115,0,1,83,0,0,225,0
"851","ChicagoBulls","CharlotteHornets",86,98,0,2015-02-25,184,1,1,87,0,0,81,0,0,158,0
"852","ClevelandCavaliers","GoldenStateWarriors",110,99,0,2015-02-26,209,1,0,102,1,0,114,0,0,195,0
"853","PhoenixSuns","OklahomaCityThunder",117,113,1,2015-02-26,230,1,0,110,1,1,105,0,0,206,0
"854","IndianaPacers","ClevelandCavaliers",93,86,0,2015-02-27,179,0,0,92,1,1,110,0,0,197,0
"855","PhiladelphiaErs","WashingtonWizards",89,81,0,2015-02-27,170,0,0,88,0,0,77,0,0,192,0
"856","AtlantaHawks","OrlandoMagic",95,88,0,2015-02-27,183,1,1,104,0,1,90,0,1,191,0
"857","BostonCeltics","CharlotteHornets",106,98,0,2015-02-27,204,1,1,115,1,0,98,0,0,209,0
"858","DetroitPistons","NewYorkKnicks",115,121,2,2015-02-27,236,0,1,93,0,0,94,0,0,195,0
"859","TorontoRaptors","GoldenStateWarriors",89,113,0,2015-02-27,202,0,0,92,0,0,99,0,0,191,0
"860","ChicagoBulls","MinnesotaTimberwolves",96,89,0,2015-02-27,185,0,1,86,1,1,97,0,0,184,0
"861","HoustonRockets","BrooklynNets",102,98,0,2015-02-27,200,1,1,110,0,0,96,0,0,215,0
"862","MemphisGrizzlies","LosAngelesClippers",79,97,0,2015-02-27,176,0,0,90,0,0,105,0,0,192,0
"863","NewOrleansPelicans","MiamiHeat",104,102,0,2015-02-27,206,1,1,102,1,0,93,0,1,198,0
"864","DenverNuggets","UtahJazz",82,104,0,2015-02-27,186,0,1,96,0,1,97,0,0,206,0
"865","SacramentoKings","SanAntonioSpurs",96,107,0,2015-02-27,203,1,1,102,0,0,95,0,0,192,0
"866","LosAngelesLakers","MilwaukeeBucks",101,93,0,2015-02-27,194,1,0,100,1,1,104,0,0,197,0
"867","PortlandTrailBlazers","OklahomaCityThunder",115,112,0,2015-02-27,227,1,1,111,0,0,113,0,1,206,0
"868","WashingtonWizards","DetroitPistons",99,95,0,2015-02-28,194,0,0,81,0,1,115,0,2,170,0
"869","MiamiHeat","AtlantaHawks",91,93,0,2015-02-28,184,0,0,102,1,1,95,0,0,206,0
"870","NewYorkKnicks","TorontoRaptors",103,98,0,2015-02-28,201,1,0,121,0,1,89,2,0,236,2
"871","MinnesotaTimberwolves","MemphisGrizzlies",97,101,0,2015-02-28,198,0,0,89,0,1,79,0,0,185,0
"872","DallasMavericks","BrooklynNets",94,104,0,2015-02-28,198,0,0,87,0,0,98,0,0,191,0
"873","PhoenixSuns","SanAntonioSpurs",74,101,0,2015-02-28,175,1,1,117,1,0,107,1,0,230,1
"874","UtahJazz","MilwaukeeBucks",82,75,0,2015-02-28,157,1,0,104,0,0,93,0,0,186,0
"875","ChicagoBulls","LosAngelesClippers",86,96,0,2015-03-01,182,1,1,96,1,0,97,0,0,185,0
"876","LosAngelesLakers","OklahomaCityThunder",101,108,0,2015-03-01,209,1,1,101,0,0,112,0,0,194,0
"877","SacramentoKings","PortlandTrailBlazers",99,110,0,2015-03-01,209,0,1,96,1,1,115,0,0,203,0
"878","BostonCeltics","GoldenStateWarriors",101,106,0,2015-03-01,207,1,1,106,1,0,113,0,0,204,0
"879","IndianaPacers","PhiladelphiaErs",94,74,0,2015-03-01,168,1,1,93,1,1,89,0,0,179,0
"880","OrlandoMagic","CharlotteHornets",83,98,0,2015-03-01,181,0,0,88,0,0,98,0,0,183,0
"881","HoustonRockets","ClevelandCavaliers",105,103,1,2015-03-01,208,1,1,102,0,0,86,0,0,200,0
"882","DenverNuggets","NewOrleansPelicans",92,99,0,2015-03-01,191,0,1,82,1,1,104,0,0,186,0
"883","PhiladelphiaErs","TorontoRaptors",103,114,0,2015-03-02,217,0,0,74,0,0,98,0,0,168,0
"884","BrooklynNets","GoldenStateWarriors",110,108,0,2015-03-02,218,1,0,104,1,0,106,0,0,198,0
"885","MiamiHeat","PhoenixSuns",115,98,0,2015-03-02,213,0,1,91,0,1,74,0,0,184,0
"886","MinnesotaTimberwolves","LosAngelesClippers",105,110,0,2015-03-02,215,0,1,97,1,0,96,0,0,198,0
"887","DallasMavericks","NewOrleansPelicans",102,93,0,2015-03-02,195,0,1,94,1,0,99,0,0,198,0
"888","CharlotteHornets","LosAngelesLakers",104,103,0,2015-03-03,207,1,0,98,0,1,101,0,0,181,0
"889","ClevelandCavaliers","BostonCeltics",110,79,0,2015-03-03,189,0,0,103,0,1,101,1,0,208,1
"890","AtlantaHawks","HoustonRockets",104,96,0,2015-03-03,200,1,0,93,1,1,105,0,1,184,0
"891","ChicagoBulls","WashingtonWizards",97,92,0,2015-03-03,189,0,1,86,1,1,99,0,0,182,0
"892","MemphisGrizzlies","UtahJazz",82,93,0,2015-03-03,175,1,0,101,1,1,82,0,0,198,0
"893","DenverNuggets","MilwaukeeBucks",106,95,0,2015-03-03,201,0,1,92,0,0,75,0,0,191,0
"894","NewYorkKnicks","SacramentoKings",86,124,0,2015-03-03,210,1,1,103,0,1,99,0,0,201,0
"895","IndianaPacers","NewYorkKnicks",105,82,0,2015-03-04,187,1,1,94,0,1,86,0,0,168,0
"896","OrlandoMagic","PhoenixSuns",100,105,0,2015-03-04,205,0,1,83,0,0,98,0,0,181,0
"897","BostonCeltics","UtahJazz",85,84,0,2015-03-04,169,0,0,79,1,0,93,0,0,189,0
"898","BrooklynNets","CharlotteHornets",91,115,0,2015-03-04,206,1,1,110,1,1,104,0,0,218,0
"899","TorontoRaptors","ClevelandCavaliers",112,120,0,2015-03-04,232,1,0,114,1,1,110,0,0,217,0
"900","HoustonRockets","MemphisGrizzlies",100,102,0,2015-03-04,202,0,0,96,0,1,82,0,0,200,0
"901","MinnesotaTimberwolves","DenverNuggets",85,100,0,2015-03-04,185,0,1,105,1,1,106,0,0,215,0
"902","NewOrleansPelicans","DetroitPistons",88,85,0,2015-03-04,173,0,0,93,0,0,95,0,0,195,0
"903","OklahomaCityThunder","PhiladelphiaErs",123,118,1,2015-03-04,241,1,0,108,0,1,103,0,0,209,0
"904","MiamiHeat","LosAngelesLakers",100,94,0,2015-03-04,194,1,1,115,0,0,103,0,0,213,0
"905","SanAntonioSpurs","SacramentoKings",112,85,0,2015-03-04,197,1,0,101,1,0,124,0,0,175,0
"906","GoldenStateWarriors","MilwaukeeBucks",102,93,0,2015-03-04,195,0,0,108,0,0,95,0,0,218,0
"907","LosAngelesClippers","PortlandTrailBlazers",93,98,1,2015-03-04,191,1,0,110,1,0,110,0,0,215,0
"908","ChicagoBulls","OklahomaCityThunder",108,105,0,2015-03-05,213,1,1,97,1,1,123,0,1,189,0
"909","PortlandTrailBlazers","DallasMavericks",94,75,0,2015-03-05,169,1,0,98,1,1,102,1,0,191,1
"910","CharlotteHornets","TorontoRaptors",103,94,0,2015-03-06,197,1,0,115,0,1,112,0,0,206,0
"911","IndianaPacers","ChicagoBulls",98,84,0,2015-03-06,182,1,1,105,1,1,108,0,0,187,0
"912","OrlandoMagic","SacramentoKings",119,114,0,2015-03-06,233,0,1,100,0,0,85,0,0,205,0
"913","PhiladelphiaErs","UtahJazz",83,89,0,2015-03-06,172,0,0,118,0,0,84,1,0,241,1
"914","AtlantaHawks","ClevelandCavaliers",106,97,0,2015-03-06,203,1,1,104,1,0,120,0,0,200,0
"915","BrooklynNets","PhoenixSuns",100,108,1,2015-03-06,208,0,1,91,1,0,105,0,0,206,0
"916","HoustonRockets","DetroitPistons",103,93,0,2015-03-06,196,0,1,100,0,0,85,0,0,202,0
"917","MemphisGrizzlies","LosAngelesLakers",97,90,0,2015-03-06,187,1,0,102,0,0,94,0,0,202,0
"918","NewOrleansPelicans","BostonCeltics",98,104,0,2015-03-06,202,1,1,88,1,1,85,0,0,173,0
"919","WashingtonWizards","MiamiHeat",99,97,0,2015-03-06,196,0,0,92,1,1,100,0,0,189,0
"920","SanAntonioSpurs","DenverNuggets",120,111,0,2015-03-06,231,1,1,112,1,0,100,0,0,197,0
"921","GoldenStateWarriors","DallasMavericks",104,89,0,2015-03-06,193,1,1,102,0,0,75,0,0,195,0
"922","NewOrleansPelicans","MemphisGrizzlies",95,89,0,2015-03-07,184,0,1,98,1,1,97,0,0,202,0
"923","ClevelandCavaliers","PhoenixSuns",89,79,0,2015-03-07,168,0,0,97,1,0,108,0,1,203,0
"924","MiamiHeat","SacramentoKings",114,109,1,2015-03-07,223,0,0,97,0,0,114,0,0,196,0
"925","NewYorkKnicks","IndianaPacers",86,92,0,2015-03-07,178,0,0,82,1,1,98,0,0,187,0
"926","PhiladelphiaErs","AtlantaHawks",92,84,0,2015-03-07,176,0,1,83,1,1,106,0,0,172,0
"927","MinnesotaTimberwolves","PortlandTrailBlazers",121,113,0,2015-03-07,234,0,1,85,1,1,94,0,0,185,0
"928","MilwaukeeBucks","WashingtonWizards",91,85,0,2015-03-07,176,0,0,93,1,1,99,0,0,195,0
"929","DenverNuggets","HoustonRockets",100,114,0,2015-03-07,214,0,0,111,1,1,103,0,0,231,0
"930","SanAntonioSpurs","ChicagoBulls",116,105,0,2015-03-08,221,1,1,120,0,0,84,0,0,231,0
"931","GoldenStateWarriors","LosAngelesClippers",106,98,0,2015-03-08,204,1,1,104,0,1,93,0,1,193,0
"932","BrooklynNets","UtahJazz",88,95,0,2015-03-08,183,0,1,100,1,0,89,1,0,208,1
"933","DetroitPistons","CharlotteHornets",101,108,0,2015-03-08,209,0,0,93,1,1,103,0,0,196,0
"934","OrlandoMagic","BostonCeltics",103,98,0,2015-03-08,201,1,1,119,1,0,104,0,0,233,0
"935","OklahomaCityThunder","TorontoRaptors",108,104,0,2015-03-08,212,0,0,105,0,0,94,0,0,213,0
"936","LosAngelesLakers","DallasMavericks",93,100,0,2015-03-08,193,0,0,90,0,0,89,0,0,187,0
"937","CharlotteHornets","WashingtonWizards",69,95,0,2015-03-09,164,1,0,108,0,0,85,0,0,209,0
"938","AtlantaHawks","SacramentoKings",130,105,0,2015-03-09,235,0,0,84,0,0,109,0,1,176,0
"939","MiamiHeat","BostonCeltics",90,100,0,2015-03-09,190,1,1,114,0,0,98,1,0,223,1
"940","ChicagoBulls","MemphisGrizzlies",91,101,0,2015-03-09,192,0,0,105,0,0,89,0,0,221,0
"941","MilwaukeeBucks","NewOrleansPelicans",103,114,0,2015-03-09,217,1,1,91,1,1,95,0,0,176,0
"942","DenverNuggets","NewYorkKnicks",106,78,0,2015-03-09,184,0,1,100,0,1,86,0,0,214,0
"943","PhoenixSuns","GoldenStateWarriors",80,98,0,2015-03-09,178,0,0,79,1,1,106,0,0,168,0
"944","LosAngelesClippers","MinnesotaTimberwolves",89,76,0,2015-03-09,165,0,0,98,1,1,121,0,0,204,0
"945","IndianaPacers","OrlandoMagic",118,86,0,2015-03-10,204,1,0,92,1,1,103,0,0,178,0
"946","BrooklynNets","NewOrleansPelicans",91,111,0,2015-03-10,202,0,1,88,1,0,114,0,0,183,0
"947","DallasMavericks","ClevelandCavaliers",94,127,0,2015-03-10,221,1,0,100,1,1,89,0,0,193,0
"948","SanAntonioSpurs","TorontoRaptors",117,107,0,2015-03-10,224,1,1,116,0,0,104,0,0,221,0
"949","UtahJazz","NewYorkKnicks",87,82,0,2015-03-10,169,1,0,95,0,0,78,0,0,183,0
"950","LosAngelesLakers","DetroitPistons",93,85,0,2015-03-10,178,0,1,93,0,1,101,0,0,193,0
"951","CharlotteHornets","SacramentoKings",106,113,0,2015-03-11,219,0,1,69,0,0,105,0,0,164,0
"952","PhiladelphiaErs","ChicagoBulls",95,104,1,2015-03-11,199,1,1,92,0,1,91,0,0,176,0
"953","BostonCeltics","MemphisGrizzlies",95,92,0,2015-03-11,187,1,0,100,1,0,101,0,0,190,0
"954","MiamiHeat","BrooklynNets",104,98,0,2015-03-11,202,0,1,90,0,1,91,0,0,190,0
"955","MilwaukeeBucks","OrlandoMagic",97,91,0,2015-03-11,188,0,1,103,0,0,86,0,0,217,0
"956","OklahomaCityThunder","LosAngelesClippers",108,120,0,2015-03-11,228,1,1,108,1,1,89,0,0,212,0
"957","DenverNuggets","AtlantaHawks",115,102,0,2015-03-11,217,1,1,106,1,1,130,0,0,184,0
"958","PhoenixSuns","MinnesotaTimberwolves",106,97,0,2015-03-11,203,0,1,80,0,0,76,0,0,178,0
"959","GoldenStateWarriors","DetroitPistons",105,98,0,2015-03-11,203,1,0,98,0,0,85,0,0,178,0
"960","PortlandTrailBlazers","HoustonRockets",105,100,0,2015-03-11,205,0,0,113,1,0,114,0,0,234,0
"961","IndianaPacers","MilwaukeeBucks",109,103,1,2015-03-12,212,1,1,118,1,1,97,0,0,204,0
"962","WashingtonWizards","MemphisGrizzlies",107,87,0,2015-03-12,194,1,0,95,0,0,92,0,0,164,0
"963","SanAntonioSpurs","ClevelandCavaliers",125,128,1,2015-03-12,253,1,1,117,1,0,127,0,0,224,0
"964","UtahJazz","HoustonRockets",109,91,0,2015-03-12,200,1,1,87,0,0,100,0,0,169,0
"965","LosAngelesLakers","NewYorkKnicks",94,101,0,2015-03-12,195,1,1,93,0,0,82,0,0,178,0
"966","CharlotteHornets","ChicagoBulls",101,91,0,2015-03-13,192,0,1,106,1,0,104,0,1,219,0
"967","PhiladelphiaErs","SacramentoKings",114,107,0,2015-03-13,221,0,1,95,1,0,113,1,0,199,1
"968","BostonCeltics","OrlandoMagic",95,88,0,2015-03-13,183,1,1,95,0,0,91,0,0,187,0
"969","TorontoRaptors","MiamiHeat",102,92,0,2015-03-13,194,0,0,107,1,1,104,0,0,224,0
"970","OklahomaCityThunder","MinnesotaTimberwolves",113,99,0,2015-03-13,212,0,1,108,0,0,97,0,0,228,0
"971","DallasMavericks","LosAngelesClippers",129,99,0,2015-03-13,228,0,1,94,1,0,120,0,0,221,0
"972","DenverNuggets","GoldenStateWarriors",114,103,0,2015-03-13,217,1,1,115,1,1,105,0,0,217,0
"973","PhoenixSuns","AtlantaHawks",87,96,0,2015-03-13,183,1,1,106,0,0,102,0,0,203,0
"974","PortlandTrailBlazers","DetroitPistons",118,99,0,2015-03-13,217,1,1,105,0,0,98,0,0,205,0
"975","IndianaPacers","BostonCeltics",89,93,0,2015-03-14,182,1,1,109,1,1,95,1,0,212,1
"976","WashingtonWizards","SacramentoKings",113,97,0,2015-03-14,210,1,1,107,0,0,107,0,0,194,0
"977","PhiladelphiaErs","BrooklynNets",87,94,0,2015-03-14,181,1,1,114,0,0,98,0,0,221,0
"978","MemphisGrizzlies","MilwaukeeBucks",96,83,0,2015-03-14,179,0,0,87,0,0,103,0,1,194,0
"979","UtahJazz","DetroitPistons",88,85,0,2015-03-14,173,1,1,109,0,0,99,0,0,200,0
"980","GoldenStateWarriors","NewYorkKnicks",125,94,0,2015-03-14,219,0,0,103,1,0,101,0,0,217,0
"981","OklahomaCityThunder","ChicagoBulls",109,100,0,2015-03-15,209,1,1,113,0,0,91,0,0,212,0
"982","LosAngelesClippers","HoustonRockets",98,100,0,2015-03-15,198,0,0,99,0,0,91,0,0,228,0
"983","NewOrleansPelicans","DenverNuggets",111,118,2,2015-03-15,229,1,0,111,1,1,114,0,0,202,0
"984","OrlandoMagic","ClevelandCavaliers",108,123,0,2015-03-15,231,0,0,88,1,0,128,0,1,183,0
"985","SanAntonioSpurs","MinnesotaTimberwolves",123,97,0,2015-03-15,220,0,1,125,0,0,99,1,0,253,1
"986","TorontoRaptors","PortlandTrailBlazers",97,113,0,2015-03-15,210,1,1,102,1,1,118,0,0,194,0
