"","gospodarz","gosc","gospodarz_res","gosc_res","dogrywka","daty"
"394","DallasMavericks","MemphisGrizzlies",97,88,0,2015-12-18
"395","UtahJazz","DenverNuggets",97,88,0,2015-12-18
"396","PhoenixSuns","NewOrleansPelicans",104,88,0,2015-12-18
"397","GoldenStateWarriors","MilwaukeeBucks",121,112,0,2015-12-18
"398","OklahomaCityThunder","LosAngelesLakers",118,78,0,2015-12-19
"399","WashingtonWizards","CharlotteHornets",109,101,0,2015-12-19
"400","NewYorkKnicks","ChicagoBulls",107,91,0,2015-12-19
"401","HoustonRockets","LosAngelesClippers",107,97,0,2015-12-19
"402","MemphisGrizzlies","IndianaPacers",96,84,0,2015-12-19
"403","BrooklynNets","MinnesotaTimberwolves",85,100,0,2015-12-20
"404","MiamiHeat","PortlandTrailBlazers",116,109,0,2015-12-20
"405","ClevelandCavaliers","PhiladelphiaErs",108,86,0,2015-12-20
"406","PhoenixSuns","MilwaukeeBucks",95,101,0,2015-12-20
"407","OrlandoMagic","AtlantaHawks",100,103,0,2015-12-20
"408","TorontoRaptors","SacramentoKings",94,104,0,2015-12-20
"409","DenverNuggets","NewOrleansPelicans",125,130,0,2015-12-20
"410","WashingtonWizards","SacramentoKings",113,99,0,2015-12-21
"411","BostonCeltics","MinnesotaTimberwolves",113,99,0,2015-12-21
"412","NewYorkKnicks","OrlandoMagic",99,107,0,2015-12-21
"413","AtlantaHawks","PortlandTrailBlazers",106,97,0,2015-12-21
"414","ChicagoBulls","BrooklynNets",102,105,0,2015-12-21
"415","HoustonRockets","CharlotteHornets",102,95,0,2015-12-21
"416","SanAntonioSpurs","IndianaPacers",106,92,0,2015-12-21
"417","UtahJazz","PhoenixSuns",110,89,0,2015-12-21
"418","LosAngelesClippers","OklahomaCityThunder",99,100,0,2015-12-21
"419","PhiladelphiaErs","MemphisGrizzlies",90,104,0,2015-12-22
"420","MiamiHeat","DetroitPistons",92,93,0,2015-12-22
"421","TorontoRaptors","DallasMavericks",103,99,0,2015-12-22
"422","DenverNuggets","LosAngelesLakers",107,111,0,2015-12-22
"423","CharlotteHornets","BostonCeltics",89,102,0,2015-12-23
"424","ClevelandCavaliers","NewYorkKnicks",91,84,0,2015-12-23
"425","IndianaPacers","SacramentoKings",106,108,0,2015-12-23
"426","OrlandoMagic","HoustonRockets",104,101,0,2015-12-23
"427","WashingtonWizards","MemphisGrizzlies",100,91,0,2015-12-23
"428","BrooklynNets","DallasMavericks",118,119,1,2015-12-23
"429","AtlantaHawks","DetroitPistons",107,100,0,2015-12-23
"430","MilwaukeeBucks","PhiladelphiaErs",113,100,0,2015-12-23
"431","MinnesotaTimberwolves","SanAntonioSpurs",83,108,0,2015-12-23
"432","NewOrleansPelicans","PortlandTrailBlazers",115,89,0,2015-12-23
"433","PhoenixSuns","DenverNuggets",96,104,0,2015-12-23
"434","GoldenStateWarriors","UtahJazz",103,85,0,2015-12-23
"435","LosAngelesLakers","OklahomaCityThunder",85,120,0,2015-12-23
"436","MiamiHeat","NewOrleansPelicans",94,88,1,2015-12-25
"437","OklahomaCityThunder","ChicagoBulls",96,105,0,2015-12-25
"438","GoldenStateWarriors","ClevelandCavaliers",89,83,0,2015-12-25
"439","HoustonRockets","SanAntonioSpurs",88,84,0,2015-12-25
"440","LosAngelesClippers","LosAngelesLakers",94,84,0,2015-12-25
"441","MilwaukeeBucks","TorontoRaptors",90,111,0,2015-12-26
"442","CharlotteHornets","MemphisGrizzlies",98,92,0,2015-12-26
"443","OrlandoMagic","MiamiHeat",101,108,0,2015-12-26
"444","NewOrleansPelicans","HoustonRockets",110,108,0,2015-12-26
"445","AtlantaHawks","NewYorkKnicks",117,98,0,2015-12-26
"446","DetroitPistons","BostonCeltics",93,99,0,2015-12-26
"447","BrooklynNets","WashingtonWizards",96,111,0,2015-12-26
"448","MinnesotaTimberwolves","IndianaPacers",88,102,0,2015-12-26
"449","DallasMavericks","ChicagoBulls",118,111,0,2015-12-26
"450","SanAntonioSpurs","DenverNuggets",101,86,0,2015-12-26
"451","PhoenixSuns","PhiladelphiaErs",104,111,0,2015-12-26
"452","UtahJazz","LosAngelesClippers",104,109,0,2015-12-26
"453","PortlandTrailBlazers","ClevelandCavaliers",105,76,0,2015-12-26
"454","BostonCeltics","NewYorkKnicks",100,91,0,2015-12-27
"455","MemphisGrizzlies","LosAngelesLakers",112,96,0,2015-12-27
"456","OklahomaCityThunder","DenverNuggets",122,112,0,2015-12-27
"457","SacramentoKings","PortlandTrailBlazers",94,98,0,2015-12-27
"458","CharlotteHornets","LosAngelesLakers",108,98,0,2015-12-28
"459","IndianaPacers","AtlantaHawks",93,87,0,2015-12-28
"460","OrlandoMagic","NewOrleansPelicans",104,89,0,2015-12-28
"461","WashingtonWizards","LosAngelesClippers",91,108,0,2015-12-28
"462","MiamiHeat","BrooklynNets",105,111,0,2015-12-28
"463","ChicagoBulls","TorontoRaptors",104,97,0,2015-12-28
"464","DallasMavericks","MilwaukeeBucks",103,93,0,2015-12-28
"465","SanAntonioSpurs","MinnesotaTimberwolves",101,95,0,2015-12-28
"466","PhoenixSuns","ClevelandCavaliers",97,101,0,2015-12-28
"467","UtahJazz","PhiladelphiaErs",95,91,0,2015-12-28
"468","GoldenStateWarriors","SacramentoKings",122,103,0,2015-12-28
"469","NewYorkKnicks","DetroitPistons",108,96,0,2015-12-29
"470","HoustonRockets","AtlantaHawks",115,121,0,2015-12-29
"471","MemphisGrizzlies","MiamiHeat",99,90,1,2015-12-29
"472","OklahomaCityThunder","MilwaukeeBucks",131,123,0,2015-12-29
"473","DenverNuggets","ClevelandCavaliers",87,93,0,2015-12-29
"474","CharlotteHornets","LosAngelesClippers",117,122,0,2015-12-30
"475","OrlandoMagic","BrooklynNets",100,93,0,2015-12-30
"476","BostonCeltics","LosAngelesLakers",104,112,0,2015-12-30
"477","TorontoRaptors","WashingtonWizards",94,91,0,2015-12-30
"478","ChicagoBulls","IndianaPacers",102,100,1,2015-12-30
"479","MinnesotaTimberwolves","UtahJazz",94,80,0,2015-12-30
"480","DallasMavericks","GoldenStateWarriors",114,91,0,2015-12-30
"481","SanAntonioSpurs","PhoenixSuns",112,79,0,2015-12-30
"482","PortlandTrailBlazers","DenverNuggets",110,103,0,2015-12-30
"483","SacramentoKings","PhiladelphiaErs",105,110,0,2015-12-30
"484","IndianaPacers","MilwaukeeBucks",116,120,0,2015-12-31
"485","DetroitPistons","MinnesotaTimberwolves",115,90,0,2015-12-31
"486","HoustonRockets","GoldenStateWarriors",110,114,0,2015-12-31
"487","NewOrleansPelicans","LosAngelesClippers",89,95,0,2015-12-31
"488","OklahomaCityThunder","PhoenixSuns",110,106,0,2015-12-31
"489","UtahJazz","PortlandTrailBlazers",109,96,0,2015-12-31
"490","WashingtonWizards","OrlandoMagic",103,91,0,2016-01-01
"491","MiamiHeat","DallasMavericks",106,82,0,2016-01-01
"492","TorontoRaptors","CharlotteHornets",104,94,0,2016-01-01
"493","ChicagoBulls","NewYorkKnicks",108,81,0,2016-01-01
"494","LosAngelesLakers","PhiladelphiaErs",93,84,0,2016-01-01
"495","BostonCeltics","BrooklynNets",97,100,0,2016-01-02
"496","SacramentoKings","PhoenixSuns",142,119,0,2016-01-02
"497","CharlotteHornets","OklahomaCityThunder",90,109,0,2016-01-02
"498","IndianaPacers","DetroitPistons",94,82,0,2016-01-02
"499","ClevelandCavaliers","OrlandoMagic",104,79,0,2016-01-02
"500","MinnesotaTimberwolves","MilwaukeeBucks",85,95,0,2016-01-02
"501","DallasMavericks","NewOrleansPelicans",98,105,0,2016-01-02
"502","SanAntonioSpurs","HoustonRockets",121,103,0,2016-01-02
"503","UtahJazz","MemphisGrizzlies",92,87,1,2016-01-02
"504","GoldenStateWarriors","DenverNuggets",111,108,1,2016-01-02
"505","LosAngelesClippers","PhiladelphiaErs",130,99,0,2016-01-02
"506","NewYorkKnicks","AtlantaHawks",111,97,0,2016-01-03
"507","TorontoRaptors","ChicagoBulls",113,115,0,2016-01-03
"508","WashingtonWizards","MiamiHeat",75,97,0,2016-01-03
"509","DenverNuggets","PortlandTrailBlazers",106,112,0,2016-01-03
"510","LosAngelesLakers","PhoenixSuns",97,77,0,2016-01-03
"511","ClevelandCavaliers","TorontoRaptors",122,100,0,2016-01-04
"512","PhiladelphiaErs","MinnesotaTimberwolves",109,99,0,2016-01-04
"513","BrooklynNets","BostonCeltics",94,103,0,2016-01-04
"514","DetroitPistons","OrlandoMagic",115,89,0,2016-01-04
"515","MiamiHeat","IndianaPacers",103,100,1,2016-01-04
"516","MilwaukeeBucks","SanAntonioSpurs",98,123,0,2016-01-04
"517","OklahomaCityThunder","SacramentoKings",104,116,0,2016-01-04
"518","UtahJazz","HoustonRockets",91,93,0,2016-01-04
"519","PortlandTrailBlazers","MemphisGrizzlies",78,91,0,2016-01-04
"520","GoldenStateWarriors","CharlotteHornets",111,101,0,2016-01-04
"521","AtlantaHawks","NewYorkKnicks",101,107,0,2016-01-05
"522","ChicagoBulls","MilwaukeeBucks",117,106,0,2016-01-05
"523","DallasMavericks","SacramentoKings",117,116,2,2016-01-05
"524","LosAngelesLakers","GoldenStateWarriors",88,109,0,2016-01-05
"525","MiamiHeat","NewYorkKnicks",90,98,0,2016-01-06
"526","OrlandoMagic","IndianaPacers",86,95,0,2016-01-06
"527","WashingtonWizards","ClevelandCavaliers",115,121,0,2016-01-06
"528","BostonCeltics","DetroitPistons",94,99,0,2016-01-06
"529","BrooklynNets","TorontoRaptors",74,91,0,2016-01-06
"530","MinnesotaTimberwolves","DenverNuggets",74,78,0,2016-01-06
"531","NewOrleansPelicans","DallasMavericks",91,100,0,2016-01-06
"532","SanAntonioSpurs","UtahJazz",123,98,0,2016-01-06
"533","PhoenixSuns","CharlotteHornets",111,102,0,2016-01-06
"534","OklahomaCityThunder","MemphisGrizzlies",112,94,0,2016-01-06
"535","PortlandTrailBlazers","LosAngelesClippers",98,109,0,2016-01-06
"536","SacramentoKings","LosAngelesLakers",118,115,0,2016-01-07
"537","PhiladelphiaErs","AtlantaHawks",98,126,0,2016-01-07
"538","ChicagoBulls","BostonCeltics",101,92,0,2016-01-07
"539","HoustonRockets","UtahJazz",103,94,0,2016-01-07
"540","WashingtonWizards","TorontoRaptors",88,97,0,2016-01-08
"541","BrooklynNets","OrlandoMagic",77,83,0,2016-01-08
"542","MemphisGrizzlies","DenverNuggets",91,84,0,2016-01-08
"543","MinnesotaTimberwolves","ClevelandCavaliers",99,125,0,2016-01-08
"544","NewOrleansPelicans","IndianaPacers",86,91,0,2016-01-08
"545","MilwaukeeBucks","DallasMavericks",96,95,0,2016-01-08
"546","SanAntonioSpurs","NewYorkKnicks",100,99,0,2016-01-08
"547","PhoenixSuns","MiamiHeat",95,103,0,2016-01-08
"548","PortlandTrailBlazers","GoldenStateWarriors",108,128,0,2016-01-08
"549","LosAngelesLakers","OklahomaCityThunder",113,117,0,2016-01-08
"550","LosAngelesClippers","CharlotteHornets",97,83,0,2016-01-09
"551","AtlantaHawks","ChicagoBulls",120,105,0,2016-01-09
"552","OrlandoMagic","WashingtonWizards",99,105,0,2016-01-09
"553","DetroitPistons","BrooklynNets",103,89,0,2016-01-09
"554","PhiladelphiaErs","TorontoRaptors",95,108,0,2016-01-09
"555","UtahJazz","MiamiHeat",98,83,0,2016-01-09
"556","SacramentoKings","GoldenStateWarriors",116,128,0,2016-01-09
"557","MinnesotaTimberwolves","DallasMavericks",87,93,0,2016-01-10
"558","LosAngelesClippers","NewOrleansPelicans",114,111,1,2016-01-10
"559","PhiladelphiaErs","ClevelandCavaliers",85,95,0,2016-01-10
"560","MemphisGrizzlies","BostonCeltics",101,98,0,2016-01-10
"561","HoustonRockets","IndianaPacers",107,103,1,2016-01-10
"562","NewYorkKnicks","MilwaukeeBucks",100,88,0,2016-01-10
"563","DenverNuggets","CharlotteHornets",95,92,0,2016-01-10
"564","PortlandTrailBlazers","OklahomaCityThunder",115,110,0,2016-01-10
"565","LosAngelesLakers","UtahJazz",74,86,0,2016-01-10
"566","BrooklynNets","SanAntonioSpurs",79,106,0,2016-01-11
"567","ChicagoBulls","WashingtonWizards",100,114,0,2016-01-11
"568","GoldenStateWarriors","MiamiHeat",111,103,0,2016-01-11
"569","IndianaPacers","PhoenixSuns",116,97,0,2016-01-12
"570","DetroitPistons","SanAntonioSpurs",99,109,0,2016-01-12
"571","NewYorkKnicks","BostonCeltics",120,114,0,2016-01-12
"572","MemphisGrizzlies","HoustonRockets",91,107,0,2016-01-12
"573","MilwaukeeBucks","ChicagoBulls",106,101,0,2016-01-12
"574","MinnesotaTimberwolves","OklahomaCityThunder",96,101,0,2016-01-12
"575","DallasMavericks","ClevelandCavaliers",107,110,1,2016-01-12
"576","LosAngelesLakers","NewOrleansPelicans",95,91,0,2016-01-12
"577","CharlotteHornets","AtlantaHawks",107,84,0,2016-01-13
"578","WashingtonWizards","MilwaukeeBucks",106,101,0,2016-01-13
"579","BrooklynNets","NewYorkKnicks",110,104,0,2016-01-13
"580","BostonCeltics","IndianaPacers",103,94,0,2016-01-13
"581","HoustonRockets","MinnesotaTimberwolves",107,104,0,2016-01-13
"582","OklahomaCityThunder","DallasMavericks",108,89,0,2016-01-13
"583","DenverNuggets","GoldenStateWarriors",112,110,0,2016-01-13
"584","PortlandTrailBlazers","UtahJazz",99,85,0,2016-01-13
"585","SacramentoKings","NewOrleansPelicans",97,109,0,2016-01-13
"586","LosAngelesClippers","MiamiHeat",104,90,0,2016-01-13
"587","OrlandoMagic","TorontoRaptors",103,106,1,2016-01-14
"588","PhiladelphiaErs","ChicagoBulls",111,115,1,2016-01-14
"589","MemphisGrizzlies","DetroitPistons",103,101,0,2016-01-14
"590","SanAntonioSpurs","ClevelandCavaliers",99,95,0,2016-01-14
"591","UtahJazz","SacramentoKings",101,103,0,2016-01-14
"592","GoldenStateWarriors","LosAngelesLakers",116,98,0,2016-01-14
"593","IndianaPacers","WashingtonWizards",104,118,0,2016-01-15
"594","OklahomaCityThunder","MinnesotaTimberwolves",113,93,0,2016-01-15
"595","BostonCeltics","PhoenixSuns",117,103,0,2016-01-15
"596","BrooklynNets","PortlandTrailBlazers",104,116,0,2016-01-15
"597","ChicagoBulls","DallasMavericks",77,83,0,2016-01-15
"598","NewOrleansPelicans","CharlotteHornets",109,107,0,2016-01-15
"599","MilwaukeeBucks","AtlantaHawks",108,101,1,2016-01-15
"600","DenverNuggets","MiamiHeat",95,98,0,2016-01-15
"601","HoustonRockets","ClevelandCavaliers",77,91,0,2016-01-15
"602","CharlotteHornets","MilwaukeeBucks",92,105,0,2016-01-16
"603","WashingtonWizards","BostonCeltics",117,119,0,2016-01-16
"604","AtlantaHawks","BrooklynNets",114,86,0,2016-01-16
"605","DetroitPistons","GoldenStateWarriors",113,95,0,2016-01-16
"606","PhiladelphiaErs","PortlandTrailBlazers",114,89,0,2016-01-16
"607","MemphisGrizzlies","NewYorkKnicks",103,95,0,2016-01-16
"608","UtahJazz","LosAngelesLakers",109,82,0,2016-01-16
"609","LosAngelesClippers","SacramentoKings",103,110,0,2016-01-16
"610","MinnesotaTimberwolves","PhoenixSuns",117,87,0,2016-01-17
"611","OklahomaCityThunder","MiamiHeat",99,74,0,2016-01-17
"612","SanAntonioSpurs","DallasMavericks",112,83,0,2016-01-17
"613","DenverNuggets","IndianaPacers",129,126,0,2016-01-17
"614","LosAngelesLakers","HoustonRockets",95,112,0,2016-01-17
"615","NewYorkKnicks","PhiladelphiaErs",119,113,2,2016-01-18
"616","CharlotteHornets","UtahJazz",124,119,2,2016-01-18
"617","WashingtonWizards","PortlandTrailBlazers",98,108,0,2016-01-18
"618","MemphisGrizzlies","NewOrleansPelicans",101,99,0,2016-01-18
"619","DetroitPistons","ChicagoBulls",101,111,0,2016-01-18
"620","AtlantaHawks","OrlandoMagic",98,81,0,2016-01-18
"621","TorontoRaptors","BrooklynNets",112,100,0,2016-01-18
"622","ClevelandCavaliers","GoldenStateWarriors",98,132,0,2016-01-18
"623","DallasMavericks","BostonCeltics",118,113,1,2016-01-18
"624","LosAngelesClippers","HoustonRockets",140,132,1,2016-01-18
"625","MiamiHeat","MilwaukeeBucks",79,91,0,2016-01-19
"626","NewOrleansPelicans","MinnesotaTimberwolves",114,99,0,2016-01-19
"627","DenverNuggets","OklahomaCityThunder",104,110,0,2016-01-19
"628","PhoenixSuns","IndianaPacers",94,97,0,2016-01-19
"629","OrlandoMagic","PhiladelphiaErs",87,96,0,2016-01-20
"630","WashingtonWizards","MiamiHeat",106,87,0,2016-01-20
"631","BrooklynNets","ClevelandCavaliers",78,91,0,2016-01-20
"632","NewYorkKnicks","UtahJazz",118,111,1,2016-01-20
"633","TorontoRaptors","BostonCeltics",115,109,0,2016-01-20
"634","ChicagoBulls","GoldenStateWarriors",94,125,0,2016-01-20
"635","HoustonRockets","DetroitPistons",114,123,0,2016-01-20
"636","OklahomaCityThunder","CharlotteHornets",109,95,0,2016-01-20
"637","DallasMavericks","MinnesotaTimberwolves",106,94,1,2016-01-20
"638","LosAngelesLakers","SacramentoKings",93,112,0,2016-01-20
"639","PortlandTrailBlazers","AtlantaHawks",98,104,0,2016-01-20
"640","ClevelandCavaliers","LosAngelesClippers",115,102,0,2016-01-21
"641","NewOrleansPelicans","DetroitPistons",115,99,0,2016-01-21
"642","DenverNuggets","MemphisGrizzlies",101,102,0,2016-01-21
"643","SacramentoKings","AtlantaHawks",91,88,0,2016-01-21
"644","PhoenixSuns","SanAntonioSpurs",89,117,0,2016-01-21
"645","OrlandoMagic","CharlotteHornets",116,120,1,2016-01-22
"646","BostonCeltics","ChicagoBulls",110,101,0,2016-01-22
"647","BrooklynNets","UtahJazz",86,108,0,2016-01-22
"648","NewYorkKnicks","LosAngelesClippers",88,116,0,2016-01-22
"649","TorontoRaptors","MiamiHeat",101,81,0,2016-01-22
"650","HoustonRockets","MilwaukeeBucks",102,98,0,2016-01-22
"651","DallasMavericks","OklahomaCityThunder",106,109,0,2016-01-22
"652","GoldenStateWarriors","IndianaPacers",122,110,0,2016-01-22
"653","LosAngelesLakers","SanAntonioSpurs",95,108,0,2016-01-22
"654","CharlotteHornets","NewYorkKnicks",97,84,0,2016-01-23
"655","NewOrleansPelicans","MilwaukeeBucks",116,99,0,2016-01-23
"656","MinnesotaTimberwolves","MemphisGrizzlies",106,101,0,2016-01-23
"657","ClevelandCavaliers","ChicagoBulls",83,96,0,2016-01-23
"658","PhoenixSuns","AtlantaHawks",98,95,0,2016-01-23
"659","DenverNuggets","DetroitPistons",104,101,0,2016-01-23
"660","PortlandTrailBlazers","LosAngelesLakers",121,103,0,2016-01-23
"661","SacramentoKings","IndianaPacers",108,97,0,2016-01-23
"662","PhiladelphiaErs","BostonCeltics",92,112,0,2016-01-24
"663","BrooklynNets","OklahomaCityThunder",116,106,0,2016-01-24
"664","HoustonRockets","DallasMavericks",115,104,0,2016-01-24
"665","TorontoRaptors","LosAngelesClippers",112,94,0,2016-01-24
"666","ClevelandCavaliers","MinnesotaTimberwolves",114,107,0,2016-01-25
"667","WashingtonWizards","BostonCeltics",91,116,0,2016-01-25
"668","ChicagoBulls","MiamiHeat",84,89,0,2016-01-25
"669","MemphisGrizzlies","OrlandoMagic",108,102,1,2016-01-25
"670","NewOrleansPelicans","HoustonRockets",111,112,0,2016-01-25
"671","DenverNuggets","AtlantaHawks",105,119,0,2016-01-25
"672","UtahJazz","DetroitPistons",92,95,0,2016-01-25
"673","SacramentoKings","CharlotteHornets",128,129,2,2016-01-25
"674","GoldenStateWarriors","SanAntonioSpurs",120,90,0,2016-01-25
"675","IndianaPacers","LosAngelesClippers",89,91,0,2016-01-26
"676","PhiladelphiaErs","PhoenixSuns",113,103,0,2016-01-26
"677","BrooklynNets","MiamiHeat",98,102,0,2016-01-26
"678","NewYorkKnicks","OklahomaCityThunder",122,128,1,2016-01-26
"679","TorontoRaptors","WashingtonWizards",106,89,0,2016-01-26
"680","MilwaukeeBucks","OrlandoMagic",107,100,0,2016-01-26
"681","PortlandTrailBlazers","SacramentoKings",112,97,0,2016-01-26
"682","LosAngelesLakers","DallasMavericks",90,92,0,2016-01-26
"683","ClevelandCavaliers","PhoenixSuns",115,93,0,2016-01-27
"684","BostonCeltics","DenverNuggets",111,103,0,2016-01-27
"685","DetroitPistons","PhiladelphiaErs",110,97,0,2016-01-27
"686","AtlantaHawks","LosAngelesClippers",83,85,0,2016-01-27
"687","MinnesotaTimberwolves","OklahomaCityThunder",123,126,0,2016-01-27
"688","SanAntonioSpurs","HoustonRockets",130,99,0,2016-01-27
"689","UtahJazz","CharlotteHornets",102,73,0,2016-01-27
"690","GoldenStateWarriors","DallasMavericks",127,107,0,2016-01-27
"691","IndianaPacers","AtlantaHawks",111,92,0,2016-01-28
"692","WashingtonWizards","DenverNuggets",113,117,0,2016-01-28
"693","TorontoRaptors","NewYorkKnicks",103,93,0,2016-01-28
"694","MemphisGrizzlies","MilwaukeeBucks",103,83,0,2016-01-28
"695","NewOrleansPelicans","SacramentoKings",114,105,0,2016-01-28
"696","LosAngelesLakers","ChicagoBulls",91,114,0,2016-01-28
"697","BostonCeltics","OrlandoMagic",113,94,0,2016-01-29
"698","DetroitPistons","ClevelandCavaliers",106,114,0,2016-01-29
"699","NewYorkKnicks","PhoenixSuns",102,84,0,2016-01-29
"700","OklahomaCityThunder","HoustonRockets",116,108,0,2016-01-29
"701","MilwaukeeBucks","MiamiHeat",103,107,0,2016-01-29
"702","DallasMavericks","BrooklynNets",91,79,0,2016-01-29
"703","UtahJazz","MinnesotaTimberwolves",103,90,0,2016-01-29
"704","PortlandTrailBlazers","CharlotteHornets",109,91,0,2016-01-29
"705","LosAngelesClippers","LosAngelesLakers",105,93,0,2016-01-29
"706","PhiladelphiaErs","GoldenStateWarriors",105,108,0,2016-01-30
"707","TorontoRaptors","DetroitPistons",111,107,0,2016-01-30
"708","IndianaPacers","DenverNuggets",109,105,1,2016-01-30
"709","NewOrleansPelicans","BrooklynNets",105,103,0,2016-01-30
"710","HoustonRockets","WashingtonWizards",122,123,0,2016-01-30
"711","MemphisGrizzlies","SacramentoKings",121,117,0,2016-01-30
"712","ClevelandCavaliers","SanAntonioSpurs",117,103,0,2016-01-30
"713","LosAngelesClippers","ChicagoBulls",120,93,0,2016-01-31
"714","MiamiHeat","AtlantaHawks",105,87,0,2016-01-31
"715","OrlandoMagic","BostonCeltics",119,114,0,2016-01-31
"716","DallasMavericks","PhoenixSuns",91,78,0,2016-01-31
"717","NewYorkKnicks","GoldenStateWarriors",95,116,0,2016-01-31
"718","PortlandTrailBlazers","MinnesotaTimberwolves",96,93,0,2016-01-31
"719","LosAngelesLakers","CharlotteHornets",82,101,0,2016-01-31
"720","IndianaPacers","ClevelandCavaliers",106,111,1,2016-02-01
"721","BrooklynNets","DetroitPistons",100,105,0,2016-02-01
"722","AtlantaHawks","DallasMavericks",112,97,0,2016-02-01
"723","NewOrleansPelicans","MemphisGrizzlies",95,110,0,2016-02-01
"724","OklahomaCityThunder","WashingtonWizards",114,98,0,2016-02-01
"725","SanAntonioSpurs","OrlandoMagic",107,92,0,2016-02-01
"726","DenverNuggets","TorontoRaptors",112,93,0,2016-02-01
"727","UtahJazz","ChicagoBulls",105,96,1,2016-02-01
"728","SacramentoKings","MilwaukeeBucks",111,104,0,2016-02-01
"729","NewYorkKnicks","BostonCeltics",89,97,0,2016-02-02
"730","HoustonRockets","MiamiHeat",115,102,0,2016-02-02
"731","PhoenixSuns","TorontoRaptors",97,104,0,2016-02-02
"732","PortlandTrailBlazers","MilwaukeeBucks",107,95,0,2016-02-02
"733","LosAngelesLakers","MinnesotaTimberwolves",119,115,0,2016-02-02
"734","CharlotteHornets","ClevelandCavaliers",106,97,0,2016-02-03
"735","PhiladelphiaErs","AtlantaHawks",86,124,0,2016-02-03
"736","BostonCeltics","DetroitPistons",102,95,0,2016-02-03
"737","BrooklynNets","IndianaPacers",100,114,0,2016-02-03
"738","WashingtonWizards","GoldenStateWarriors",121,134,0,2016-02-03
"739","OklahomaCityThunder","OrlandoMagic",117,114,0,2016-02-03
"740","DallasMavericks","MiamiHeat",90,93,0,2016-02-03
"741","SanAntonioSpurs","NewOrleansPelicans",110,97,0,2016-02-03
"742","UtahJazz","DenverNuggets",85,81,0,2016-02-03
"743","SacramentoKings","ChicagoBulls",102,107,0,2016-02-03
"744","LosAngelesClippers","MinnesotaTimberwolves",102,108,0,2016-02-03
"745","DetroitPistons","NewYorkKnicks",111,105,0,2016-02-04
"746","NewOrleansPelicans","LosAngelesLakers",96,99,0,2016-02-04
"747","PortlandTrailBlazers","TorontoRaptors",103,110,0,2016-02-04
"748","PhoenixSuns","HoustonRockets",105,111,0,2016-02-04
"749","AtlantaHawks","IndianaPacers",102,96,0,2016-02-05
"750","CharlotteHornets","MiamiHeat",95,98,0,2016-02-05
"751","OrlandoMagic","LosAngelesClippers",93,107,0,2016-02-05
"752","WashingtonWizards","PhiladelphiaErs",106,94,0,2016-02-05
"753","BrooklynNets","SacramentoKings",128,119,0,2016-02-05
"754","ClevelandCavaliers","BostonCeltics",103,104,0,2016-02-05
"755","NewYorkKnicks","MemphisGrizzlies",85,91,0,2016-02-05
"756","DenverNuggets","ChicagoBulls",115,110,0,2016-02-05
"757","UtahJazz","MilwaukeeBucks",84,81,0,2016-02-05
"758","DallasMavericks","SanAntonioSpurs",90,116,0,2016-02-05
"759","HoustonRockets","PortlandTrailBlazers",79,96,0,2016-02-06
"760","CharlotteHornets","WashingtonWizards",108,104,0,2016-02-06
"761","IndianaPacers","DetroitPistons",112,104,0,2016-02-06
"762","ClevelandCavaliers","NewOrleansPelicans",99,84,0,2016-02-06
"763","PhiladelphiaErs","BrooklynNets",103,98,0,2016-02-06
"764","MemphisGrizzlies","DallasMavericks",110,114,1,2016-02-06
"765","MinnesotaTimberwolves","ChicagoBulls",112,105,0,2016-02-06
"766","SanAntonioSpurs","LosAngelesLakers",106,102,0,2016-02-06
"767","PhoenixSuns","UtahJazz",89,98,0,2016-02-06
"768","GoldenStateWarriors","OklahomaCityThunder",116,108,0,2016-02-06
"769","NewYorkKnicks","DenverNuggets",96,101,0,2016-02-07
"770","OrlandoMagic","AtlantaHawks",96,94,0,2016-02-07
"771","BostonCeltics","SacramentoKings",128,119,0,2016-02-07
"772","MiamiHeat","LosAngelesClippers",93,100,0,2016-02-07
"773","CharlotteHornets","ChicagoBulls",108,91,0,2016-02-08
"774","ClevelandCavaliers","SacramentoKings",120,100,0,2016-02-08
"775","IndianaPacers","LosAngelesLakers",89,87,0,2016-02-08
"776","PhiladelphiaErs","LosAngelesClippers",92,98,1,2016-02-08
"777","BrooklynNets","DenverNuggets",105,104,0,2016-02-08
"778","DetroitPistons","TorontoRaptors",89,103,0,2016-02-08
"779","AtlantaHawks","OrlandoMagic",110,117,1,2016-02-08
"780","MemphisGrizzlies","PortlandTrailBlazers",106,112,1,2016-02-08
"781","MinnesotaTimberwolves","NewOrleansPelicans",102,116,0,2016-02-08
"782","PhoenixSuns","OklahomaCityThunder",106,122,0,2016-02-08
"783","MiamiHeat","SanAntonioSpurs",101,119,0,2016-02-09
"784","NewYorkKnicks","WashingtonWizards",108,111,0,2016-02-09
"785","MilwaukeeBucks","BostonCeltics",112,111,0,2016-02-09
"786","DallasMavericks","UtahJazz",119,121,1,2016-02-09
"787","GoldenStateWarriors","HoustonRockets",123,110,0,2016-02-09
"788","ClevelandCavaliers","LosAngelesLakers",120,111,0,2016-02-10
"789","ChicagoBulls","AtlantaHawks",90,113,0,2016-02-10
"790","MinnesotaTimberwolves","TorontoRaptors",117,112,0,2016-02-10
"791","NewOrleansPelicans","UtahJazz",100,96,0,2016-02-10
"792","PhoenixSuns","GoldenStateWarriors",104,112,0,2016-02-10
