"","gospodarz","gosc","gospodarz_res","gosc_res","dogrywka","daty"
"91","UtahJazz","MemphisGrizzlies",89,79,0,2015-11-07
"92","SacramentoKings","GoldenStateWarriors",94,103,0,2015-11-07
"93","LosAngelesClippers","HoustonRockets",105,109,0,2015-11-07
"94","ClevelandCavaliers","IndianaPacers",101,97,0,2015-11-08
"95","NewYorkKnicks","LosAngelesLakers",99,95,0,2015-11-08
"96","MiamiHeat","TorontoRaptors",96,76,0,2015-11-08
"97","OklahomaCityThunder","PhoenixSuns",124,103,0,2015-11-08
"98","PortlandTrailBlazers","DetroitPistons",103,120,0,2015-11-08
"99","IndianaPacers","OrlandoMagic",97,84,0,2015-11-09
"100","PhiladelphiaErs","ChicagoBulls",88,111,0,2015-11-09
"101","AtlantaHawks","MinnesotaTimberwolves",107,117,0,2015-11-09
"102","DenverNuggets","PortlandTrailBlazers",108,104,0,2015-11-09
"103","SacramentoKings","SanAntonioSpurs",88,106,0,2015-11-09
"104","GoldenStateWarriors","DetroitPistons",109,95,0,2015-11-09
"105","LosAngelesClippers","MemphisGrizzlies",94,92,0,2015-11-09
"106","ClevelandCavaliers","UtahJazz",118,114,0,2015-11-10
"107","WashingtonWizards","OklahomaCityThunder",101,125,0,2015-11-10
"108","MiamiHeat","LosAngelesLakers",101,88,0,2015-11-10
"109","TorontoRaptors","NewYorkKnicks",109,111,0,2015-11-10
"110","MilwaukeeBucks","BostonCeltics",83,99,0,2015-11-10
"111","MinnesotaTimberwolves","CharlotteHornets",95,104,0,2015-11-10
"112","NewOrleansPelicans","DallasMavericks",120,105,0,2015-11-10
"113","CharlotteHornets","NewYorkKnicks",95,93,0,2015-11-11
"114","OrlandoMagic","LosAngelesLakers",101,99,0,2015-11-11
"115","PhiladelphiaErs","TorontoRaptors",103,119,0,2015-11-11
"116","BostonCeltics","IndianaPacers",91,102,0,2015-11-11
"117","AtlantaHawks","NewOrleansPelicans",106,98,0,2015-11-11
"118","DallasMavericks","LosAngelesClippers",118,108,0,2015-11-11
"119","HoustonRockets","BrooklynNets",98,106,0,2015-11-11
"120","MemphisGrizzlies","GoldenStateWarriors",84,100,0,2015-11-11
"121","DenverNuggets","MilwaukeeBucks",103,102,0,2015-11-11
"122","SacramentoKings","DetroitPistons",101,92,0,2015-11-11
"123","PortlandTrailBlazers","SanAntonioSpurs",101,113,0,2015-11-11
"124","MiamiHeat","UtahJazz",92,91,0,2015-11-12
"125","MinnesotaTimberwolves","GoldenStateWarriors",116,129,0,2015-11-12
"126","PhoenixSuns","LosAngelesClippers",118,104,0,2015-11-12
"127","IndianaPacers","MinnesotaTimberwolves",107,103,0,2015-11-13
"128","OrlandoMagic","UtahJazz",102,93,0,2015-11-13
"129","BostonCeltics","AtlantaHawks",106,93,0,2015-11-13
"130","NewYorkKnicks","ClevelandCavaliers",84,90,0,2015-11-13
"131","TorontoRaptors","NewOrleansPelicans",100,81,0,2015-11-13
"132","ChicagoBulls","CharlotteHornets",102,97,0,2015-11-13
"133","MemphisGrizzlies","PortlandTrailBlazers",101,100,0,2015-11-13
"134","OklahomaCityThunder","PhiladelphiaErs",102,85,0,2015-11-13
"135","DallasMavericks","LosAngelesLakers",90,82,0,2015-11-13
"136","DenverNuggets","HoustonRockets",107,98,0,2015-11-13
"137","SacramentoKings","BrooklynNets",111,109,0,2015-11-13
"138","LosAngelesClippers","DetroitPistons",101,96,0,2015-11-14
"139","WashingtonWizards","OrlandoMagic",108,99,0,2015-11-14
"140","HoustonRockets","DallasMavericks",98,110,0,2015-11-14
"141","MilwaukeeBucks","ClevelandCavaliers",108,105,2,2015-11-14
"142","SanAntonioSpurs","PhiladelphiaErs",92,83,0,2015-11-14
"143","PhoenixSuns","DenverNuggets",105,81,0,2015-11-14
"144","GoldenStateWarriors","BrooklynNets",107,99,1,2015-11-14
"145","NewYorkKnicks","NewOrleansPelicans",95,87,0,2015-11-15
"146","MinnesotaTimberwolves","MemphisGrizzlies",106,114,0,2015-11-15
"147","CharlotteHornets","PortlandTrailBlazers",106,94,0,2015-11-15
"148","AtlantaHawks","UtahJazz",96,97,0,2015-11-15
"149","OklahomaCityThunder","BostonCeltics",85,100,0,2015-11-15
"150","SacramentoKings","TorontoRaptors",107,101,0,2015-11-15
"151","LosAngelesLakers","DetroitPistons",97,85,0,2015-11-15
"152","PhiladelphiaErs","DallasMavericks",86,92,0,2015-11-16
"153","ChicagoBulls","IndianaPacers",96,95,0,2015-11-16
"154","HoustonRockets","BostonCeltics",95,111,0,2015-11-16
"155","MemphisGrizzlies","OklahomaCityThunder",122,114,0,2015-11-16
"156","SanAntonioSpurs","PortlandTrailBlazers",93,80,0,2015-11-16
"157","PhoenixSuns","LosAngelesLakers",120,101,0,2015-11-16
"158","WashingtonWizards","MilwaukeeBucks",115,86,0,2015-11-17
"159","BrooklynNets","AtlantaHawks",90,88,0,2015-11-17
"160","DetroitPistons","ClevelandCavaliers",104,99,0,2015-11-17
"161","MiamiHeat","MinnesotaTimberwolves",91,103,0,2015-11-17
"162","NewYorkKnicks","CharlotteHornets",102,94,0,2015-11-17
"163","NewOrleansPelicans","DenverNuggets",98,115,0,2015-11-17
"164","GoldenStateWarriors","TorontoRaptors",115,110,0,2015-11-17
"165","CharlotteHornets","BrooklynNets",116,111,0,2015-11-18
"166","OrlandoMagic","MinnesotaTimberwolves",104,101,1,2015-11-18
"167","PhiladelphiaErs","IndianaPacers",85,112,0,2015-11-18
"168","BostonCeltics","DallasMavericks",102,106,0,2015-11-18
"169","AtlantaHawks","SacramentoKings",103,97,0,2015-11-18
"170","HoustonRockets","PortlandTrailBlazers",108,103,1,2015-11-18
"171","OklahomaCityThunder","NewOrleansPelicans",110,103,0,2015-11-18
"172","SanAntonioSpurs","DenverNuggets",109,98,0,2015-11-18
"173","UtahJazz","TorontoRaptors",93,89,0,2015-11-18
"174","PhoenixSuns","ChicagoBulls",97,103,0,2015-11-18
"175","MiamiHeat","SacramentoKings",116,109,0,2015-11-19
"176","ClevelandCavaliers","MilwaukeeBucks",115,100,0,2015-11-19
"177","LosAngelesClippers","GoldenStateWarriors",117,124,0,2015-11-19
"178","CharlotteHornets","PhiladelphiaErs",113,88,0,2015-11-20
"179","BostonCeltics","BrooklynNets",120,95,0,2015-11-20
"180","MemphisGrizzlies","HoustonRockets",96,84,0,2015-11-20
"181","MinnesotaTimberwolves","DetroitPistons",86,96,0,2015-11-20
"182","NewOrleansPelicans","SanAntonioSpurs",104,90,0,2015-11-20
"183","OklahomaCityThunder","NewYorkKnicks",90,93,0,2015-11-20
"184","DallasMavericks","UtahJazz",102,93,0,2015-11-20
"185","DenverNuggets","PhoenixSuns",107,114,0,2015-11-20
"186","PortlandTrailBlazers","LosAngelesClippers",102,91,0,2015-11-20
"187","GoldenStateWarriors","ChicagoBulls",106,94,0,2015-11-20
"188","LosAngelesLakers","TorontoRaptors",91,102,0,2015-11-20
"189","OrlandoMagic","SacramentoKings",91,97,0,2015-11-21
"190","IndianaPacers","MilwaukeeBucks",123,86,0,2015-11-21
"191","ClevelandCavaliers","AtlantaHawks",109,97,0,2015-11-21
"192","DetroitPistons","WashingtonWizards",95,97,0,2015-11-21
"193","MiamiHeat","PhiladelphiaErs",96,91,0,2015-11-21
"194","HoustonRockets","NewYorkKnicks",102,107,0,2015-11-21
"195","SanAntonioSpurs","MemphisGrizzlies",92,82,0,2015-11-21
"196","LosAngelesClippers","TorontoRaptors",80,91,0,2015-11-22
"197","BrooklynNets","BostonCeltics",111,101,0,2015-11-22
"198","NewOrleansPelicans","PhoenixSuns",122,116,0,2015-11-22
"199","OklahomaCityThunder","DallasMavericks",117,114,0,2015-11-22
"200","DenverNuggets","GoldenStateWarriors",105,118,0,2015-11-22
"201","LosAngelesLakers","PortlandTrailBlazers",93,107,0,2015-11-22
"202","CharlotteHornets","SacramentoKings",127,122,1,2015-11-23
"203","ClevelandCavaliers","OrlandoMagic",117,103,0,2015-11-23
"204","MiamiHeat","NewYorkKnicks",95,78,0,2015-11-23
"205","MilwaukeeBucks","DetroitPistons",109,88,0,2015-11-23
"206","MinnesotaTimberwolves","PhiladelphiaErs",100,95,0,2015-11-23
"207","SanAntonioSpurs","PhoenixSuns",98,84,0,2015-11-23
"208","UtahJazz","OklahomaCityThunder",89,111,0,2015-11-23
"209","WashingtonWizards","IndianaPacers",106,123,0,2015-11-24
"210","AtlantaHawks","BostonCeltics",121,97,0,2015-11-24
"211","MemphisGrizzlies","DallasMavericks",110,96,0,2015-11-24
"212","DenverNuggets","LosAngelesClippers",94,111,0,2015-11-24
"213","PortlandTrailBlazers","ChicagoBulls",88,93,0,2015-11-24
"214","GoldenStateWarriors","LosAngelesLakers",111,77,0,2015-11-24
"215","CharlotteHornets","WashingtonWizards",101,87,0,2015-11-25
"216","OrlandoMagic","NewYorkKnicks",100,91,0,2015-11-25
"217","BostonCeltics","PhiladelphiaErs",84,80,0,2015-11-25
"218","DetroitPistons","MiamiHeat",104,81,0,2015-11-25
"219","TorontoRaptors","ClevelandCavaliers",103,99,0,2015-11-25
"220","HoustonRockets","MemphisGrizzlies",93,102,0,2015-11-25
"221","MilwaukeeBucks","SacramentoKings",118,129,0,2015-11-25
"222","MinnesotaTimberwolves","AtlantaHawks",99,95,0,2015-11-25
"223","OklahomaCityThunder","BrooklynNets",110,99,0,2015-11-25
"224","SanAntonioSpurs","DallasMavericks",88,83,0,2015-11-25
"225","PhoenixSuns","NewOrleansPelicans",114,120,0,2015-11-25
"226","LosAngelesClippers","UtahJazz",91,102,0,2015-11-25
"227","CharlotteHornets","ClevelandCavaliers",90,95,0,2015-11-27
"228","OrlandoMagic","MilwaukeeBucks",114,90,0,2015-11-27
"229","BostonCeltics","WashingtonWizards",111,78,0,2015-11-27
"230","NewYorkKnicks","MiamiHeat",78,97,0,2015-11-27
"231","IndianaPacers","ChicagoBulls",104,92,0,2015-11-27
"232","HoustonRockets","PhiladelphiaErs",116,114,0,2015-11-27
"233","MemphisGrizzlies","AtlantaHawks",101,116,0,2015-11-27
"234","OklahomaCityThunder","DetroitPistons",103,87,0,2015-11-27
"235","DenverNuggets","SanAntonioSpurs",80,91,0,2015-11-27
"236","PhoenixSuns","GoldenStateWarriors",116,135,0,2015-11-27
"237","SacramentoKings","MinnesotaTimberwolves",91,101,0,2015-11-27
"238","LosAngelesClippers","NewOrleansPelicans",111,90,0,2015-11-27
"239","WashingtonWizards","TorontoRaptors",82,84,0,2015-11-28
"240","ClevelandCavaliers","BrooklynNets",90,88,0,2015-11-28
"241","DallasMavericks","DenverNuggets",92,81,0,2015-11-28
"242","SanAntonioSpurs","AtlantaHawks",108,88,0,2015-11-28
"243","UtahJazz","NewOrleansPelicans",101,87,0,2015-11-28
"244","PortlandTrailBlazers","LosAngelesLakers",108,96,0,2015-11-28
"245","GoldenStateWarriors","SacramentoKings",120,101,0,2015-11-28
"246","CharlotteHornets","MilwaukeeBucks",87,82,0,2015-11-29
"247","LosAngelesClippers","MinnesotaTimberwolves",107,99,0,2015-11-29
"248","BrooklynNets","DetroitPistons",87,83,0,2015-11-29
"249","OrlandoMagic","BostonCeltics",110,91,0,2015-11-29
"250","TorontoRaptors","PhoenixSuns",102,107,0,2015-11-29
"251","MemphisGrizzlies","PhiladelphiaErs",92,84,0,2015-11-29
"252","NewYorkKnicks","HoustonRockets",111,116,1,2015-11-29
"253","LosAngelesLakers","IndianaPacers",103,107,0,2015-11-29
"254","DetroitPistons","HoustonRockets",116,105,0,2015-11-30
"255","MiamiHeat","BostonCeltics",95,105,0,2015-11-30
"256","AtlantaHawks","OklahomaCityThunder",106,100,0,2015-11-30
"257","ChicagoBulls","SanAntonioSpurs",92,89,0,2015-11-30
"258","MilwaukeeBucks","DenverNuggets",92,74,0,2015-11-30
"259","UtahJazz","GoldenStateWarriors",103,106,0,2015-11-30
"260","SacramentoKings","DallasMavericks",112,98,0,2015-11-30
"261","LosAngelesClippers","PortlandTrailBlazers",102,87,0,2015-11-30
"262","ClevelandCavaliers","WashingtonWizards",85,97,0,2015-12-01
"263","PhiladelphiaErs","LosAngelesLakers",103,91,0,2015-12-01
"264","BrooklynNets","PhoenixSuns",94,91,0,2015-12-01
"265","MinnesotaTimberwolves","OrlandoMagic",93,96,0,2015-12-01
"266","NewOrleansPelicans","MemphisGrizzlies",104,113,0,2015-12-01
"267","PortlandTrailBlazers","DallasMavericks",112,115,1,2015-12-01
"268","CharlotteHornets","GoldenStateWarriors",99,116,0,2015-12-02
"269","WashingtonWizards","LosAngelesLakers",104,108,0,2015-12-02
"270","DetroitPistons","PhoenixSuns",127,122,1,2015-12-02
"271","NewYorkKnicks","PhiladelphiaErs",99,87,0,2015-12-02
"272","AtlantaHawks","TorontoRaptors",86,96,0,2015-12-02
"273","ChicagoBulls","DenverNuggets",99,90,0,2015-12-02
"274","HoustonRockets","NewOrleansPelicans",108,101,0,2015-12-02
"275","SanAntonioSpurs","MilwaukeeBucks",95,70,0,2015-12-02
"276","LosAngelesClippers","IndianaPacers",91,103,0,2015-12-02
"277","MiamiHeat","OklahomaCityThunder",97,95,0,2015-12-03
"278","TorontoRaptors","DenverNuggets",105,106,0,2015-12-03
"279","UtahJazz","OrlandoMagic",94,103,0,2015-12-03
"280","MemphisGrizzlies","SanAntonioSpurs",83,103,0,2015-12-03
"281","PortlandTrailBlazers","IndianaPacers",123,111,0,2015-12-03
"282","SacramentoKings","BostonCeltics",97,114,0,2015-12-03
"283","NewYorkKnicks","BrooklynNets",108,91,0,2015-12-04
